t,K,Z
0,1,0.5
0.01,1.005,0.5
0.02,1.01002,0.500025
0.03,1.01507,0.500075
0.04,1.02015,0.500151
0.05,1.02525,0.500251
0.06,1.03037,0.500378
0.07,1.03552,0.50053
0.08,1.04069,0.500707
0.09,1.04589,0.500911
0.1,1.05111,0.501141
0.11,1.05635,0.501397
0.12,1.06162,0.50168
0.13,1.06691,0.501989
0.14,1.07222,0.502325
0.15,1.07756,0.502687
0.16,1.08292,0.503077
0.17,1.0883,0.503494
0.18,1.0937,0.503939
0.19,1.09913,0.504411
0.2,1.10457,0.504911
0.21,1.11004,0.505439
0.22,1.11553,0.505995
0.23,1.12104,0.50658
0.24,1.12658,0.507193
0.25,1.13213,0.507835
0.26,1.1377,0.508506
0.27,1.14329,0.509206
0.28,1.1489,0.509936
0.29,1.15453,0.510695
0.3,1.16018,0.511485
0.31,1.16585,0.512304
0.32,1.17154,0.513154
0.33,1.17724,0.514034
0.34,1.18296,0.514945
0.35,1.1887,0.515887
0.36,1.19445,0.51686
0.37,1.20022,0.517866
0.38,1.20601,0.518902
0.39,1.21181,0.519971
0.4,1.21763,0.521073
0.41,1.22346,0.522207
0.42,1.22931,0.523374
0.43,1.23517,0.524574
0.44,1.24104,0.525807
0.45,1.24692,0.527075
0.46,1.25282,0.528376
0.47,1.25873,0.529712
0.48,1.26465,0.531083
0.49,1.27058,0.532488
0.5,1.27652,0.533929
0.51,1.28247,0.535405
0.52,1.28843,0.536918
0.53,1.29439,0.538466
0.54,1.30037,0.540052
0.55,1.30635,0.541674
0.56,1.31233,0.543333
0.57,1.31833,0.54503
0.58,1.32433,0.546765
0.59,1.33033,0.548538
0.6,1.33633,0.55035
0.61,1.34234,0.552201
0.62,1.34835,0.554092
0.63,1.35437,0.556022
0.64,1.36038,0.557992
0.65,1.36639,0.560003
0.66,1.3724,0.562055
0.67,1.37841,0.564148
0.68,1.38442,0.566283
0.69,1.39043,0.56846
0.7,1.39643,0.570679
0.71,1.40242,0.572942
0.72,1.40841,0.575247
0.73,1.41439,0.577597
0.74,1.42037,0.57999
0.75,1.42633,0.582428
0.76,1.43229,0.584911
0.77,1.43824,0.58744
0.78,1.44417,0.590014
0.79,1.45009,0.592635
0.8,1.456,0.595302
0.81,1.46189,0.598017
0.82,1.46777,0.600779
0.83,1.47363,0.603589
0.84,1.47947,0.606448
0.85,1.48529,0.609356
0.86,1.49109,0.612313
0.87,1.49687,0.61532
0.88,1.50263,0.618377
0.89,1.50837,0.621485
0.9,1.51407,0.624645
