t,K,Z
0.2,1.10477,0.505161
0.201,1.10532,0.505214
0.202,1.10586,0.505267
0.203,1.10641,0.50532
0.204,1.10696,0.505374
0.205,1.10751,0.505428
0.206,1.10805,0.505482
0.207,1.1086,0.505537
0.208,1.10915,0.505592
0.209,1.1097,0.505647
0.21,1.11025,0.505703
0.211,1.1108,0.505758
0.212,1.11134,0.505814
0.213,1.11189,0.505871
0.214,1.11244,0.505927
0.215,1.11299,0.505984
0.216,1.11354,0.506041
0.217,1.11409,0.506099
0.218,1.11464,0.506157
0.219,1.11519,0.506215
0.22,1.11574,0.506273
0.221,1.1163,0.506332
0.222,1.11685,0.50639
0.223,1.1174,0.50645
0.224,1.11795,0.506509
0.225,1.1185,0.506569
0.226,1.11905,0.506629
0.227,1.1196,0.506689
0.228,1.12016,0.50675
0.229,1.12071,0.506811
0.23,1.12126,0.506872
0.231,1.12182,0.506933
0.232,1.12237,0.506995
0.233,1.12292,0.507057
0.234,1.12348,0.507119
0.235,1.12403,0.507182
0.236,1.12458,0.507245
0.237,1.12514,0.507308
0.238,1.12569,0.507372
0.239,1.12625,0.507435
0.24,1.1268,0.507499
0.241,1.12736,0.507564
0.242,1.12791,0.507628
0.243,1.12847,0.507693
0.244,1.12902,0.507759
0.245,1.12958,0.507824
0.246,1.13013,0.50789
0.247,1.13069,0.507956
0.248,1.13125,0.508022
0.249,1.1318,0.508089
0.25,1.13236,0.508156
0.251,1.13292,0.508223
0.252,1.13347,0.508291
0.253,1.13403,0.508359
0.254,1.13459,0.508427
0.255,1.13515,0.508495
0.256,1.1357,0.508564
0.257,1.13626,0.508633
0.258,1.13682,0.508702
0.259,1.13738,0.508772
0.26,1.13794,0.508842
0.261,1.1385,0.508912
0.262,1.13906,0.508982
0.263,1.13961,0.509053
0.264,1.14017,0.509124
0.265,1.14073,0.509196
0.266,1.14129,0.509267
0.267,1.14185,0.509339
0.268,1.14241,0.509411
0.269,1.14297,0.509484
0.27,1.14354,0.509557
0.271,1.1441,0.50963
0.272,1.14466,0.509703
0.273,1.14522,0.509777
0.274,1.14578,0.509851
0.275,1.14634,0.509926
0.276,1.1469,0.51
0.277,1.14747,0.510075
0.278,1.14803,0.51015
0.279,1.14859,0.510226
