t,K,Z
2,2.47475,0.773265
2.01,2.48023,0.777139
2.02,2.48562,0.781019
2.03,2.49093,0.784905
2.04,2.49614,0.788795
2.05,2.50127,0.79269
2.06,2.50631,0.796587
2.07,2.51127,0.800487
2.08,2.51613,0.804389
2.09,2.5209,0.808292
2.1,2.52559,0.812195
2.11,2.53018,0.816097
2.12,2.53468,0.819999
2.13,2.53908,0.823897
2.14,2.5434,0.827794
2.15,2.54762,0.831686
2.16,2.55174,0.835574
2.17,2.55578,0.839457
2.18,2.55972,0.843333
2.19,2.56356,0.847203
2.2,2.56731,0.851066
2.21,2.57097,0.85492
2.22,2.57453,0.858765
2.23,2.57799,0.862601
2.24,2.58136,0.866425
2.25,2.58463,0.870239
2.26,2.58781,0.874041
2.27,2.59089,0.877829
2.28,2.59388,0.881605
2.29,2.59677,0.885366
2.3,2.59956,0.889112
2.31,2.60226,0.892842
2.32,2.60487,0.896557
2.33,2.60738,0.900254
2.34,2.60979,0.903933
2.35,2.61211,0.907595
2.36,2.61433,0.911237
2.37,2.61646,0.914859
2.38,2.61849,0.918462
2.39,2.62044,0.922043
2.4,2.62228,0.925603
2.41,2.62404,0.929141
2.42,2.6257,0.932656
2.43,2.62727,0.936147
2.44,2.62875,0.939615
2.45,2.63013,0.943059
2.46,2.63143,0.946477
2.47,2.63264,0.949871
2.48,2.63375,0.953238
2.49,2.63478,0.956579
2.5,2.63572,0.959893
2.51,2.63657,0.963179
2.52,2.63733,0.966438
2.53,2.63801,0.969668
2.54,2.6386,0.97287
2.55,2.6391,0.976043
2.56,2.63952,0.979186
2.57,2.63986,0.982299
2.58,2.64012,0.985382
2.59,2.64029,0.988435
2.6,2.64038,0.991456
2.61,2.64039,0.994447
2.62,2.64032,0.997406
2.63,2.64017,1.00033
2.64,2.63995,1.00323
2.65,2.63965,1.00609
2.66,2.63927,1.00892
2.67,2.63881,1.01172
2.68,2.63829,1.01448
2.69,2.63769,1.01722
2.7,2.63701,1.01991
2.71,2.63627,1.02258
2.72,2.63545,1.02521
2.73,2.63457,1.02781
2.74,2.63361,1.03037
