t,K,Z
0,1,0.5
0.1,1.05125,0.488125
0.2,1.1063,0.478653
0.3,1.16518,0.471544
0.4,1.22791,0.46678
0.5,1.29444,0.464363
0.6,1.3647,0.464312
0.7,1.43855,0.466663
0.8,1.51576,0.471468
0.9,1.59605,0.478784
1,1.67901,0.488673
1.1,1.76413,0.50119
1.2,1.85078,0.516372
1.3,1.93819,0.534223
1.4,2.02549,0.5547
1.5,2.11167,0.577692
1.6,2.19566,0.603001
1.7,2.27633,0.630331
1.8,2.35254,0.65928
1.9,2.42322,0.689343
2,2.48741,0.719934
2.1,2.54436,0.750415
2.2,2.59354,0.780148
2.3,2.63471,0.808535
2.4,2.6679,0.835075
2.5,2.69337,0.859386
2.6,2.71164,0.881229
2.7,2.72334,0.900503
2.8,2.72923,0.917227
2.9,2.73009,0.931515
3,2.7267,0.943543
3.1,2.7198,0.95353
3.2,2.71007,0.961706
3.3,2.6981,0.968301
3.4,2.68441,0.973531
3.5,2.66946,0.977596
3.6,2.65361,0.980671
3.7,2.63719,0.982912
3.8,2.62044,0.98445
3.9,2.60359,0.9854
4,2.58679,0.985859
4.1,2.57019,0.985909
4.2,2.55389,0.98562
4.3,2.53798,0.985049
4.4,2.52253,0.984248
4.5,2.50757,0.983258
4.6,2.49316,0.982115
4.7,2.47931,0.980849
4.8,2.46604,0.979488
4.9,2.45336,0.978052
5,2.44128,0.976562
5.1,2.42978,0.975035
5.2,2.41888,0.973483
5.3,2.40855,0.971921
5.4,2.39879,0.970358
5.5,2.38958,0.968804
5.6,2.38091,0.967266
5.7,2.37277,0.965752
5.8,2.36513,0.964267
5.9,2.35797,0.962816
6,2.35128,0.961404
6.1,2.34504,0.960033
6.2,2.33923,0.958707
6.3,2.33383,0.957428
6.4,2.32882,0.956198
6.5,2.32419,0.955018
6.6,2.3199,0.953889
6.7,2.31595,0.952811
6.8,2.31232,0.951785
6.9,2.30899,0.95081
7,2.30593,0.949887
7.1,2.30314,0.949013
7.2,2.3006,0.94819
7.3,2.29829,0.947415
7.4,2.2962,0.946688
7.5,2.29431,0.946007
7.6,2.29261,0.945371
7.7,2.29108,0.944778
7.8,2.28972,0.944227
7.9,2.28851,0.943716
8,2.28743,0.943243
8.1,2.28648,0.942806
8.2,2.28565,0.942404
8.3,2.28493,0.942036
8.4,2.2843,0.941698
8.5,2.28376,0.941391
8.6,2.28331,0.941111
8.7,2.28292,0.940857
8.8,2.28261,0.940627
8.9,2.28235,0.940421
9,2.28214,0.940236
9.1,2.28199,0.94007
