t,K,Z
0,1,0.5
0.1,1.05,0.5
0.2,1.1025,0.5025
0.3,1.15735,0.507651
0.4,1.21433,0.515638
0.5,1.27315,0.52669
0.6,1.33341,0.541077
0.7,1.3946,0.559117
0.8,1.45609,0.581179
0.9,1.51707,0.607686
1,1.57659,0.639108
1.1,1.63349,0.675958
1.2,1.68642,0.718779
1.3,1.73384,0.768117
1.4,1.77405,0.824485
1.5,1.80518,0.888304
1.6,1.82535,0.959829
1.7,1.83268,1.03905
1.8,1.82552,1.12557
1.9,1.8026,1.21849
2,1.76322,1.31628
2.1,1.70745,1.41674
2.2,1.63629,1.51697
2.3,1.5517,1.61349
2.4,1.45651,1.70251
2.5,1.35418,1.78023
2.6,1.24853,1.84328
2.7,1.14324,1.8891
2.8,1.0416,1.91615
2.9,0.946169,1.92412
3,0.858731,1.91377
3.1,0.780263,1.88673
3.2,0.711075,1.84527
3.3,0.650969,1.79196
3.4,0.599415,1.72941
3.5,0.555693,1.66014
3.6,0.51901,1.58637
3.7,0.488576,1.51007
3.8,0.463656,1.43284
3.9,0.443586,1.35599
4,0.427795,1.28054
4.1,0.415794,1.20727
4.2,0.407175,1.13674
4.3,0.401608,1.06935
4.4,0.398822,1.00536
4.5,0.398608,0.944923
4.6,0.400804,0.888096
4.7,0.405289,0.834882
4.8,0.411981,0.78523
4.9,0.420829,0.739057
5,0.43181,0.696253
5.1,0.444927,0.656693
5.2,0.460201,0.620242
5.3,0.477678,0.586761
5.4,0.497417,0.556113
5.5,0.519497,0.528164
5.6,0.544009,0.502786
5.7,0.571057,0.479859
5.8,0.600761,0.459276
5.9,0.633245,0.44094
6,0.668647,0.424768
6.1,0.70711,0.410693
6.2,0.748781,0.398664
6.3,0.793807,0.388649
6.4,0.842337,0.380635
6.5,0.894508,0.374634
6.6,0.950448,0.370682
6.7,1.01026,0.368845
6.8,1.07402,0.369224
6.9,1.14177,0.371957
7,1.21348,0.37723
7.1,1.28905,0.385283
7.2,1.36829,0.39642
7.3,1.45088,0.41102
7.4,1.53633,0.429552
7.5,1.62397,0.45259
7.6,1.71287,0.48083
7.7,1.8018,0.515107
7.8,1.88916,0.556409
7.9,1.97297,0.605882
8,2.05072,0.664833
8.1,2.11946,0.734688
8.2,2.17569,0.816934
8.3,2.21552,0.91298
8.4,2.2348,1.02395
8.5,2.22945,1.15039
8.6,2.19592,1.29183
8.7,2.13183,1.44632
8.8,2.03669,1.61002
8.9,1.91245,1.77693
9,1.76386,1.93906
9.1,1.59823,2.08718
9.2,1.42447,2.21204
9.3,1.25182,2.30593
9.4,1.08834,2.364
9.5,0.93989,2.38488
9.6,0.809726,2.37055
9.7,0.698749,2.32544
9.8,0.606134,2.25539
9.9,0.530041,2.16656
10,0.468209,2.06474
10.1,0.418357,1.95494
10.2,0.378406,1.84123
10.3,0.346574,1.72678
10.4,0.321385,1.61395
10.5,0.301654,1.50442
10.6,0.286438,1.39936
10.7,0.274999,1.29951
10.8,0.266762,1.20529
10.9,0.261286,1.11692
11,0.258231,1.03441
11.1,0.257342,0.957679
11.2,0.258432,0.886557
11.3,0.261363,0.820812
11.4,0.266047,0.760184
11.5,0.272427,0.70439
11.6,0.28048,0.653141
11.7,0.290209,0.606146
11.8,0.301639,0.563122
11.9,0.314817,0.523796
12,0.329808,0.487906
12.1,0.346698,0.455207
12.2,0.365585,0.425468
12.3,0.38659,0.398476
12.4,0.409844,0.374033
12.5,0.435499,0.351959
12.6,0.463721,0.332091
12.7,0.494693,0.314282
12.8,0.528615,0.298401
12.9,0.565703,0.284335
13,0.606188,0.271986
13.1,0.650319,0.261275
13.2,0.69836,0.252139
13.3,0.750588,0.244533
13.4,0.807292,0.238434
13.5,0.868773,0.233839
13.6,0.935335,0.230771
13.7,1.00728,0.229279
13.8,1.08492,0.229446
13.9,1.16852,0.231394
14,1.25833,0.235293
14.1,1.35455,0.241372
14.2,1.45731,0.24993
14.3,1.56662,0.261359
14.4,1.68234,0.276168
14.5,1.80411,0.295012
14.6,1.9313,0.318735
14.7,2.06287,0.348418
14.8,2.19729,0.385451
14.9,2.33232,0.4316
15,2.46489,0.489103
15.1,2.59082,0.560752
15.2,2.70462,0.649957
15.3,2.79929,0.76075
15.4,2.86627,0.897632
15.5,2.89561,1.06515
15.6,2.87674,1.26707
15.7,2.79992,1.50486
15.8,2.65856,1.77572
15.9,2.45233,2.07024
16,2.18987,2.3709
16.1,1.88966,2.65301
16.2,1.5773,2.88904
16.3,1.27934,3.05582
16.4,1.01633,3.14118
16.5,0.798716,3.14631
16.6,0.627286,3.08298
16.7,0.496624,2.96808
16.8,0.398884,2.81867
16.9,0.326341,2.64923
17,0.272519,2.47077
17.1,0.232438,2.29102
17.2,0.20243,2.11517
17.3,0.179855,1.94647
17.4,0.162833,1.78683
17.5,0.15002,1.63725
17.6,0.14046,1.49808
17.7,0.133464,1.36932
17.8,0.128535,1.25066
17.9,0.125313,1.14167
18,0.123538,1.04181
18.1,0.123021,0.950499
18.2,0.12363,0.867143
18.3,0.125273,0.791149
18.4,0.127889,0.721945
18.5,0.131445,0.658983
18.6,0.135928,0.601747
18.7,0.141341,0.549752
18.8,0.147705,0.502547
18.9,0.155053,0.459715
19,0.16343,0.420872
19.1,0.172895,0.385663
19.2,0.183516,0.353764
19.3,0.195376,0.32488
19.4,0.208566,0.298739
19.5,0.223192,0.275096
19.6,0.239371,0.253726
19.7,0.257235,0.234427
19.8,0.276928,0.217015
19.9,0.298611,0.201323
20,0.32246,0.187203
20.1,0.34867,0.174519
