t,K,Z
0,1,0.5
0.001,1.0005,0.499875
0.002,1.001,0.49975
0.003,1.0015,0.499626
0.004,1.002,0.499502
0.005,1.0025,0.499378
0.006,1.00301,0.499254
0.007,1.00351,0.499131
0.008,1.00401,0.499007
0.009,1.00451,0.498885
0.01,1.00502,0.498762
0.011,1.00552,0.498639
0.012,1.00603,0.498517
0.013,1.00653,0.498395
0.014,1.00704,0.498274
0.015,1.00754,0.498152
0.016,1.00805,0.498031
0.017,1.00855,0.49791
0.018,1.00906,0.497789
0.019,1.00957,0.497669
0.02,1.01007,0.497549
0.021,1.01058,0.497429
0.022,1.01109,0.497309
0.023,1.0116,0.49719
0.024,1.01211,0.49707
0.025,1.01262,0.496951
0.026,1.01313,0.496833
0.027,1.01364,0.496714
0.028,1.01415,0.496596
0.029,1.01466,0.496478
0.03,1.01517,0.49636
0.031,1.01568,0.496243
0.032,1.01619,0.496126
0.033,1.0167,0.496009
0.034,1.01722,0.495892
0.035,1.01773,0.495775
0.036,1.01824,0.495659
0.037,1.01875,0.495543
0.038,1.01927,0.495428
0.039,1.01978,0.495312
0.04,1.0203,0.495197
0.041,1.02081,0.495082
0.042,1.02133,0.494967
0.043,1.02184,0.494853
0.044,1.02236,0.494738
0.045,1.02288,0.494624
0.046,1.02339,0.494511
0.047,1.02391,0.494397
0.048,1.02443,0.494284
0.049,1.02495,0.494171
0.05,1.02547,0.494058
0.051,1.02599,0.493946
0.052,1.02651,0.493833
0.053,1.02702,0.493721
0.054,1.02754,0.49361
0.055,1.02807,0.493498
0.056,1.02859,0.493387
0.057,1.02911,0.493276
0.058,1.02963,0.493165
0.059,1.03015,0.493054
0.06,1.03067,0.492944
0.061,1.0312,0.492834
0.062,1.03172,0.492724
0.063,1.03224,0.492615
0.064,1.03277,0.492505
0.065,1.03329,0.492396
0.066,1.03382,0.492287
0.067,1.03434,0.492179
0.068,1.03487,0.492071
0.069,1.03539,0.491963
0.07,1.03592,0.491855
0.071,1.03644,0.491747
0.072,1.03697,0.49164
0.073,1.0375,0.491533
0.074,1.03803,0.491426
0.075,1.03855,0.491319
0.076,1.03908,0.491213
0.077,1.03961,0.491107
0.078,1.04014,0.491001
0.079,1.04067,0.490895
0.08,1.0412,0.49079
0.081,1.04173,0.490685
0.082,1.04226,0.49058
0.083,1.04279,0.490475
0.084,1.04332,0.490371
0.085,1.04386,0.490267
0.086,1.04439,0.490163
0.087,1.04492,0.490059
0.088,1.04545,0.489956
0.089,1.04599,0.489853
0.09,1.04652,0.48975
0.091,1.04705,0.489647
0.092,1.04759,0.489545
0.093,1.04812,0.489443
0.094,1.04866,0.489341
0.095,1.04919,0.489239
0.096,1.04973,0.489137
0.097,1.05027,0.489036
0.098,1.0508,0.488935
0.099,1.05134,0.488835
0.1,1.05188,0.488734
0.101,1.05242,0.488634
0.102,1.05295,0.488534
0.103,1.05349,0.488434
0.104,1.05403,0.488335
0.105,1.05457,0.488235
0.106,1.05511,0.488136
0.107,1.05565,0.488038
0.108,1.05619,0.487939
0.109,1.05673,0.487841
0.11,1.05727,0.487743
0.111,1.05782,0.487645
0.112,1.05836,0.487548
0.113,1.0589,0.48745
0.114,1.05944,0.487353
0.115,1.05999,0.487257
0.116,1.06053,0.48716
0.117,1.06107,0.487064
0.118,1.06162,0.486968
0.119,1.06216,0.486872
0.12,1.06271,0.486776
0.121,1.06325,0.486681
0.122,1.0638,0.486586
0.123,1.06435,0.486491
0.124,1.06489,0.486396
0.125,1.06544,0.486302
0.126,1.06599,0.486208
0.127,1.06654,0.486114
0.128,1.06708,0.48602
0.129,1.06763,0.485927
0.13,1.06818,0.485834
0.131,1.06873,0.485741
0.132,1.06928,0.485648
0.133,1.06983,0.485556
0.134,1.07038,0.485464
0.135,1.07093,0.485372
0.136,1.07148,0.48528
0.137,1.07204,0.485189
