iter	log
1	0.927274
2	2.14984
3	1.90682
4	1.70422
5	1.54202
6	1.41715
7	1.3243
8	1.25723
9	1.20989
10	1.17703
11	1.15451
12	1.13921
13	1.12887
14	1.12193
15	1.11727
16	1.11415
17	1.11207
18	1.11067
19	1.10975
20	1.10913
21	1.10871
22	1.10844
23	1.1088
24	1.10893
25	1.10897
26	1.10898
27	1.10899
28	1.10899
29	1.10899
30	1.10899
