Liczba wezlow,Blad trapezow,Blad Simpsona
11,-0.870187,-1.5279
21,-1.48631,-2.84391
41,-2.09176,-4.07282
61,-2.44457,-4.78166
81,-2.69466,-5.28298
101,-2.88858,-5.67134
121,-3.047,-5.98845
141,-3.18093,-6.25647
161,-3.29693,-6.48859
181,-3.39925,-6.69331
201,-3.49078,-6.87641
