x,y_actual,y_interpolated
-5,-1,-1
-4.9,-1,-1.14427
-4.8,-1,-1.27097
-4.7,-1,-1.38089
-4.6,-1,-1.47484
-4.5,-1,-1.5536
-4.4,-1,-1.61792
-4.3,-1,-1.66856
-4.2,-1,-1.70624
-4.1,-1,-1.73169
-4,-1,-1.7456
-3.9,-1,-1.74866
-3.8,-1,-1.74154
-3.7,-1,-1.7249
-3.6,-1,-1.69938
-3.5,-1,-1.6656
-3.4,-1,-1.62417
-3.3,-1,-1.57568
-3.2,-1,-1.52072
-3.1,-1,-1.45984
-3,-1,-1.3936
-2.9,-1,-1.32252
-2.8,-1,-1.24713
-2.7,-1,-1.16793
-2.6,-1,-1.08539
-2.5,-1,-1
-2.4,-1,-0.912207
-2.3,-1,-0.822454
-2.2,-1,-0.731164
-2.1,-1,-0.638748
-2,-1,-0.5456
-1.9,-1,-0.452099
-1.8,-1,-0.358607
-1.7,-1,-0.265475
-1.6,-1,-0.173033
-1.5,-1,-0.0816
-1.4,-1,0.00852224
-1.3,-1,0.097047
-1.2,-1,0.183703
-1.1,-1,0.268234
-1,-1,0.3504
-0.9,-1,0.429975
-0.8,-1,0.506749
-0.7,-1,0.580529
-0.6,-1,0.651133
-0.5,-1,0.7184
-0.4,-1,0.78218
-0.3,-1,0.84234
-0.2,-1,0.898762
-0.1,-1,0.951345
-1.02696e-15,-1,1
0.1,1,1.04466
0.2,1,1.08526
0.3,1,1.12176
0.4,1,1.15415
0.5,1,1.1824
0.6,1,1.20653
0.7,1,1.22654
0.8,1,1.24249
0.9,1,1.25442
1,1,1.2624
1.1,1,1.26651
1.2,1,1.26684
1.3,1,1.26351
1.4,1,1.25665
1.5,1,1.2464
1.6,1,1.23292
1.7,1,1.21638
1.8,1,1.19698
1.9,1,1.17491
2,1,1.1504
2.1,1,1.12368
2.2,1,1.09501
2.3,1,1.06465
2.4,1,1.03288
2.5,1,1
2.6,1,0.966321
2.7,1,0.93217
2.8,1,0.897892
2.9,1,0.863844
3,1,0.8304
3.1,1,0.797949
3.2,1,0.766897
3.3,1,0.737661
3.4,1,0.710679
3.5,1,0.6864
3.6,1,0.66529
3.7,1,0.647831
3.8,1,0.634519
3.9,1,0.625866
4,1,0.6224
4.1,1,0.624663
4.2,1,0.633213
4.3,1,0.648625
4.4,1,0.671485
4.5,1,0.7024
4.6,1,0.741988
4.7,1,0.790884
4.8,1,0.849738
4.9,1,0.919217
5,1,1
NEXT N
-5,-1,-1
-4.9,-1,1.16719
-4.8,-1,2.35664
-4.7,-1,2.83445
-4.6,-1,2.81529
-4.5,-1,2.46972
-4.4,-1,1.93074
-4.3,-1,1.29962
-4.2,-1,0.651139
-4.1,-1,0.038126
-4,-1,-0.504448
-3.9,-1,-0.955953
-3.8,-1,-1.30703
-3.7,-1,-1.55692
-3.6,-1,-1.71126
-3.5,-1,-1.78009
-3.4,-1,-1.77633
-3.3,-1,-1.71443
-3.2,-1,-1.6093
-3.1,-1,-1.47552
-3,-1,-1.32664
-2.9,-1,-1.17478
-2.8,-1,-1.03024
-2.7,-1,-0.901394
-2.6,-1,-0.79454
-2.5,-1,-0.71396
-2.4,-1,-0.661983
-2.3,-1,-0.639139
-2.2,-1,-0.644342
-2.1,-1,-0.67512
-2,-1,-0.727851
-1.9,-1,-0.798023
-1.8,-1,-0.880491
-1.7,-1,-0.969729
-1.6,-1,-1.06007
-1.5,-1,-1.14594
-1.4,-1,-1.22206
-1.3,-1,-1.28359
-1.2,-1,-1.32636
-1.1,-1,-1.34692
-1,-1,-1.34266
-0.9,-1,-1.31188
-0.8,-1,-1.2538
-0.7,-1,-1.1686
-0.6,-1,-1.05733
-0.5,-1,-0.921957
-0.4,-1,-0.765181
-0.3,-1,-0.590413
-0.2,-1,-0.40163
-0.1,-1,-0.203252
-1.02696e-15,-1,-2.22554e-15
0.1,1,0.203252
0.2,1,0.40163
0.3,1,0.590413
0.4,1,0.765181
0.5,1,0.921957
0.6,1,1.05733
0.7,1,1.1686
0.8,1,1.2538
0.9,1,1.31188
1,1,1.34266
1.1,1,1.34692
1.2,1,1.32636
1.3,1,1.28359
1.4,1,1.22206
1.5,1,1.14594
1.6,1,1.06007
1.7,1,0.969729
1.8,1,0.880491
1.9,1,0.798023
2,1,0.727851
2.1,1,0.67512
2.2,1,0.644342
2.3,1,0.639139
2.4,1,0.661983
2.5,1,0.71396
2.6,1,0.79454
2.7,1,0.901394
2.8,1,1.03024
2.9,1,1.17478
3,1,1.32664
3.1,1,1.47552
3.2,1,1.6093
3.3,1,1.71443
3.4,1,1.77633
3.5,1,1.78009
3.6,1,1.71126
3.7,1,1.55692
3.8,1,1.30703
3.9,1,0.955953
4,1,0.504448
4.1,1,-0.038126
4.2,1,-0.651139
4.3,1,-1.29962
4.4,1,-1.93074
4.5,1,-2.46972
4.6,1,-2.81529
4.7,1,-2.83445
4.8,1,-2.35664
4.9,1,-1.16719
5,1,1
NEXT N
-5,-1,-1
-4.9,-1,46.0794
-4.8,-1,56.7323
-4.7,-1,49.4056
-4.6,-1,35.2825
-4.5,-1,20.6246
-4.4,-1,8.48361
-4.3,-1,-0.0749
-4.2,-1,-5.12002
-4.1,-1,-7.28425
-4,-1,-7.39812
-3.9,-1,-6.27303
-3.8,-1,-4.58712
-3.7,-1,-2.84014
-3.6,-1,-1.35167
-3.5,-1,-0.284206
-3.4,-1,0.322139
-3.3,-1,0.51192
-3.2,-1,0.379323
-3.1,-1,0.0388591
-3,-1,-0.396858
-2.9,-1,-0.832086
-2.8,-1,-1.19633
-2.7,-1,-1.44718
-2.6,-1,-1.56897
-2.5,-1,-1.56849
-2.4,-1,-1.46904
-2.3,-1,-1.3039
-2.2,-1,-1.11
-2.1,-1,-0.922434
-2,-1,-0.770248
-1.9,-1,-0.673605
-1.8,-1,-0.642453
-1.7,-1,-0.676507
-1.6,-1,-0.766362
-1.5,-1,-0.895445
-1.4,-1,-1.04251
-1.3,-1,-1.18435
-1.2,-1,-1.29848
-1.1,-1,-1.36545
-1,-1,-1.37076
-0.9,-1,-1.30611
-0.8,-1,-1.16994
-0.7,-1,-0.967356
-0.6,-1,-0.709429
-0.5,-1,-0.411941
-0.4,-1,-0.093791
-0.3,-1,0.224821
-0.2,-1,0.524255
-0.1,-1,0.787171
-1.02696e-15,-1,1
0.1,1,1.15403
0.2,1,1.246
0.3,1,1.27823
0.4,1,1.25813
0.5,1,1.19738
0.6,1,1.11058
0.7,1,1.01373
0.8,1,0.922504
0.9,1,0.850652
1,1,0.808487
1.1,1,0.801781
1.2,1,0.831109
1.3,1,0.891756
1.4,1,0.974213
1.5,1,1.06529
1.6,1,1.14971
1.7,1,1.21216
1.8,1,1.23947
1.9,1,1.22281
2,1,1.15959
2.1,1,1.05474
2.2,1,0.92123
2.3,1,0.779427
2.4,1,0.655308
2.5,1,0.577379
2.6,1,0.572466
2.7,1,0.660612
2.8,1,0.849603
2.9,1,1.12976
3,1,1.46991
3.1,1,1.81562
3.2,1,2.09078
3.3,1,2.20382
3.4,1,2.05951
3.5,1,1.57711
3.6,1,0.714822
3.7,1,-0.500385
3.8,1,-1.94005
3.9,1,-3.34326
4,1,-4.29481
4.1,1,-4.22395
4.2,1,-2.43957
4.3,1,1.77548
4.4,1,8.98088
4.5,1,19.2663
4.6,1,31.7578
4.7,1,43.8774
4.8,1,50.2721
