x,y_actual,y_interpolated
4.2,2.18296e-08,-0.241129
4.3,9.33029e-09,-0.328073
4.4,3.90894e-09,-0.408652
4.5,1.60523e-09,-0.473091
4.6,6.46143e-10,-0.508923
4.7,2.54938e-10,-0.500607
4.8,9.85951e-11,-0.429098
4.9,3.73757e-11,-0.271386
5,1.38879e-11,1.38789e-11
NEXT N
-5,1.38879e-11,1.38879e-11
-4.9,3.73757e-11,3.71287
-4.8,9.85951e-11,4.52478
-4.7,2.54938e-10,3.92464
-4.6,6.46143e-10,2.80537
-4.5,1.60523e-09,1.65969
-4.4,3.90894e-09,0.722167
-4.3,9.33029e-09,0.0698583
-4.2,2.18296e-08,-0.308359
-4.1,5.00622e-08,-0.465882
-4,1.12535e-07,-0.469523
-3.9,2.4796e-07,-0.382768
-3.8,5.35535e-07,-0.257365
-3.7,1.13373e-06,-0.130378
-3.6,2.35258e-06,-0.0245808
-3.5,4.78512e-06,0.0493189
-3.4,9.54016e-06,0.0896785
-3.3,1.86437e-05,0.100832
-3.2,3.57128e-05,0.0903307
-3.1,6.70548e-05,0.0667289
-3,0.00012341,0.037994
-2.9,0.00022263,0.010519
-2.8,0.000393669,-0.0113377
-2.7,0.000682328,-0.0252931
-2.6,0.00115923,-0.0308817
-2.5,0.00193045,-0.0290118
-2.4,0.00315111,-0.0214399
-2.3,0.00504176,-0.0102472
-2.2,0.00790705,0.00261953
-2.1,0.0121552,0.0157007
-2,0.0183156,0.0282482
-1.9,0.0270518,0.0403163
-1.8,0.0391639,0.0527295
-1.7,0.0555762,0.0669462
-1.6,0.0773047,0.0848453
-1.5,0.105399,0.108467
-1.4,0.140858,0.139737
-1.3,0.18452,0.180207
-1.2,0.236928,0.230826
-1.1,0.298197,0.291784
-1,0.367879,0.362409
-0.9,0.444858,0.441153
-0.8,0.527292,0.525656
-0.7,0.612626,0.612867
-0.6,0.697676,0.699244
-0.5,0.778801,0.780974
-0.4,0.852144,0.854239
-0.3,0.913931,0.915472
-0.2,0.960789,0.961604
-0.1,0.99005,0.990274
-1.02696e-15,1,1
0.1,0.99005,0.990274
0.2,0.960789,0.961604
0.3,0.913931,0.915472
0.4,0.852144,0.854239
0.5,0.778801,0.780974
0.6,0.697676,0.699244
0.7,0.612626,0.612867
0.8,0.527292,0.525656
0.9,0.444858,0.441153
1,0.367879,0.362409
1.1,0.298197,0.291784
1.2,0.236928,0.230826
1.3,0.18452,0.180207
1.4,0.140858,0.139737
1.5,0.105399,0.108467
1.6,0.0773047,0.0848453
1.7,0.0555762,0.0669462
1.8,0.0391639,0.0527295
1.9,0.0270518,0.0403163
2,0.0183156,0.0282482
2.1,0.0121552,0.0157007
2.2,0.00790705,0.00261953
2.3,0.00504176,-0.0102472
2.4,0.00315111,-0.0214399
2.5,0.00193045,-0.0290118
2.6,0.00115923,-0.0308817
2.7,0.000682328,-0.0252931
2.8,0.000393669,-0.0113377
2.9,0.00022263,0.010519
3,0.00012341,0.037994
3.1,6.70548e-05,0.0667289
3.2,3.57128e-05,0.0903307
3.3,1.86437e-05,0.100832
3.4,9.54016e-06,0.0896785
3.5,4.78512e-06,0.0493189
3.6,2.35258e-06,-0.0245808
3.7,1.13373e-06,-0.130378
3.8,5.35535e-07,-0.257365
3.9,2.4796e-07,-0.382768
4,1.12535e-07,-0.469523
4.1,5.00622e-08,-0.465882
4.2,2.18296e-08,-0.308359
4.3,9.33029e-09,0.0698583
4.4,3.90894e-09,0.722167
4.5,1.60523e-09,1.65969
4.6,6.46143e-10,2.80537
4.7,2.54938e-10,3.92464
4.8,9.85951e-11,4.52478
4.9,3.73757e-11,3.71287
5,1.38879e-11,1.40441e-11
NEXT N
-5,1.38879e-11,1.38879e-11
-4.9,3.73757e-11,2.9816
-4.8,9.85951e-11,2.81014
-4.7,2.54938e-10,1.74974
-4.6,6.46143e-10,0.753465
-4.5,1.60523e-09,0.10891
-4.4,3.90894e-09,-0.192536
