x,y_actual,y_interpolated
-5,-0.839072,-1.52108
-4.9,-0.930426,-1.18751
-4.8,-0.984688,-0.886913
-4.7,-0.999693,-0.617685
-4.6,-0.974844,-0.378251
-4.5,-0.91113,-0.16707
-4.4,-0.811093,0.0173641
-4.3,-0.67872,0.176525
-4.2,-0.519289,0.311853
-4.1,-0.339155,0.424756
-4,-0.1455,0.516609
-3.9,0.0539554,0.588751
-3.8,0.25126,0.642493
-3.7,0.438547,0.679108
-3.6,0.608351,0.699838
-3.5,0.753902,0.705893
-3.4,0.869397,0.698448
-3.3,0.950233,0.678645
-3.2,0.993185,0.647594
-3.1,0.996542,0.606371
-3,0.96017,0.556019
-2.9,0.88552,0.497549
-2.8,0.775566,0.431937
-2.7,0.634693,0.360127
-2.6,0.468517,0.28303
-2.5,0.283662,0.201524
-2.4,0.087499,0.116452
-2.3,-0.112153,0.028627
-2.2,-0.307333,-0.0611735
-2.1,-0.490261,-0.152204
-2,-0.653644,-0.243753
-1.9,-0.790968,-0.335142
-1.8,-0.896758,-0.425724
-1.7,-0.966798,-0.514887
-1.6,-0.998295,-0.602052
-1.5,-0.989992,-0.686671
-1.4,-0.942222,-0.768232
-1.3,-0.856889,-0.846255
-1.2,-0.737394,-0.920292
-1.1,-0.588501,-0.989929
-1,-0.416147,-1.05479
-0.9,-0.227202,-1.11451
-0.8,-0.0291995,-1.1688
-0.7,0.169967,-1.21736
-0.6,0.362358,-1.25995
-0.5,0.540302,-1.29635
-0.4,0.696707,-1.32638
-0.3,0.825336,-1.3499
-0.2,0.921061,-1.36677
-0.1,0.980067,-1.37693
-1.02696e-15,1,-1.38032
0.1,0.980067,-1.37693
0.2,0.921061,-1.36677
0.3,0.825336,-1.3499
0.4,0.696707,-1.32638
0.5,0.540302,-1.29635
0.6,0.362358,-1.25995
0.7,0.169967,-1.21736
0.8,-0.0291995,-1.1688
0.9,-0.227202,-1.11451
1,-0.416147,-1.05479
1.1,-0.588501,-0.989929
1.2,-0.737394,-0.920292
1.3,-0.856889,-0.846255
1.4,-0.942222,-0.768232
1.5,-0.989992,-0.686671
1.6,-0.998295,-0.602052
1.7,-0.966798,-0.514887
1.8,-0.896758,-0.425724
1.9,-0.790968,-0.335142
2,-0.653644,-0.243753
2.1,-0.490261,-0.152204
2.2,-0.307333,-0.0611735
2.3,-0.112153,0.028627
2.4,0.087499,0.116452
2.5,0.283662,0.201524
2.6,0.468517,0.28303
2.7,0.634693,0.360127
2.8,0.775566,0.431937
2.9,0.88552,0.497549
3,0.96017,0.556019
3.1,0.996542,0.606371
3.2,0.993185,0.647594
3.3,0.950233,0.678645
3.4,0.869397,0.698448
3.5,0.753902,0.705893
3.6,0.608351,0.699838
3.7,0.438547,0.679108
3.8,0.25126,0.642493
3.9,0.0539554,0.588751
4,-0.1455,0.516609
4.1,-0.339155,0.424756
4.2,-0.519289,0.311853
4.3,-0.67872,0.176525
4.4,-0.811093,0.0173641
4.5,-0.91113,-0.16707
4.6,-0.974844,-0.378251
4.7,-0.999693,-0.617685
4.8,-0.984688,-0.886913
4.9,-0.930426,-1.18751
5,-0.839072,-1.52108
NEXT N
-5,-0.839072,25.5601
-4.9,-0.930426,15.5068
-4.8,-0.984688,8.30907
-4.7,-0.999693,3.36431
-4.6,-0.974844,0.166269
-4.5,-0.91113,-1.7068
-4.4,-0.811093,-2.60269
-4.3,-0.67872,-2.80482
-4.2,-0.519289,-2.54093
-4.1,-0.339155,-1.99092
-4,-0.1455,-1.29389
-3.9,0.0539554,-0.554439
-3.8,0.25126,0.151702
-3.7,0.438547,0.772686
-3.6,0.608351,1.27615
-3.5,0.753902,1.64534
-3.4,0.869397,1.87575
-3.3,0.950233,1.97221
-3.2,0.993185,1.94637
-3.1,0.996542,1.81459
-3,0.96017,1.59613
-2.9,0.88552,1.31172
-2.8,0.775566,0.982294
-2.7,0.634693,0.628095
-2.6,0.468517,0.267902
-2.5,0.283662,-0.0814978
-2.4,0.087499,-0.405689
-2.3,-0.112153,-0.692857
-2.2,-0.307333,-0.933892
-2.1,-0.490261,-1.12239
-2,-0.653644,-1.25456
-1.9,-0.790968,-1.32908
-1.8,-0.896758,-1.34686
-1.7,-0.966798,-1.3108
-1.6,-0.998295,-1.22552
-1.5,-0.989992,-1.09702
-1.4,-0.942222,-0.932387
-1.3,-0.856889,-0.739478
-1.2,-0.737394,-0.526618
-1.1,-0.588501,-0.3023
-1,-0.416147,-0.0749173
-0.9,-0.227202,0.147485
-0.8,-0.0291995,0.357434
-0.7,0.169967,0.548217
