x,y_actual,y_interpolated
-5,-0.839072,-0.839072
-4.9,-0.930426,-0.818286
-4.8,-0.984688,-0.793758
-4.7,-0.999693,-0.765742
-4.6,-0.974844,-0.734488
-4.5,-0.91113,-0.700241
-4.4,-0.811093,-0.663238
-4.3,-0.67872,-0.623715
-4.2,-0.519289,-0.581899
-4.1,-0.339155,-0.538014
-4,-0.1455,-0.492279
-3.9,0.0539554,-0.444905
-3.8,0.25126,-0.396101
-3.7,0.438547,-0.346068
-3.6,0.608351,-0.295005
-3.5,0.753902,-0.243101
-3.4,0.869397,-0.190545
-3.3,0.950233,-0.137518
-3.2,0.993185,-0.0841944
-3.1,0.996542,-0.0307463
-3,0.96017,0.0226611
-2.9,0.88552,0.0758675
-2.8,0.775566,0.128718
-2.7,0.634693,0.181063
-2.6,0.468517,0.232757
-2.5,0.283662,0.283662
-2.4,0.087499,0.333644
-2.3,-0.112153,0.382573
-2.2,-0.307333,0.430327
-2.1,-0.490261,0.476786
-2,-0.653644,0.521839
-1.9,-0.790968,0.565377
-1.8,-0.896758,0.607299
-1.7,-0.966798,0.647505
-1.6,-0.998295,0.685906
-1.5,-0.989992,0.722414
-1.4,-0.942222,0.756947
-1.3,-0.856889,0.78943
-1.2,-0.737394,0.819791
-1.1,-0.588501,0.847965
-1,-0.416147,0.873892
-0.9,-0.227202,0.897515
-0.8,-0.0291995,0.918786
-0.7,0.169967,0.93766
-0.6,0.362358,0.954097
-0.5,0.540302,0.968062
-0.4,0.696707,0.979528
-0.3,0.825336,0.988471
-0.2,0.921061,0.994872
-0.1,0.980067,0.998717
-1.02696e-15,1,1
0.1,0.980067,0.998717
0.2,0.921061,0.994872
0.3,0.825336,0.988471
0.4,0.696707,0.979528
0.5,0.540302,0.968062
0.6,0.362358,0.954097
0.7,0.169967,0.93766
0.8,-0.0291995,0.918786
0.9,-0.227202,0.897515
1,-0.416147,0.873892
1.1,-0.588501,0.847965
1.2,-0.737394,0.819791
1.3,-0.856889,0.78943
1.4,-0.942222,0.756947
1.5,-0.989992,0.722414
1.6,-0.998295,0.685906
1.7,-0.966798,0.647505
1.8,-0.896758,0.607299
1.9,-0.790968,0.565377
2,-0.653644,0.521839
2.1,-0.490261,0.476786
2.2,-0.307333,0.430327
2.3,-0.112153,0.382573
2.4,0.087499,0.333644
2.5,0.283662,0.283662
2.6,0.468517,0.232757
2.7,0.634693,0.181063
2.8,0.775566,0.128718
2.9,0.88552,0.0758675
3,0.96017,0.0226611
3.1,0.996542,-0.0307463
3.2,0.993185,-0.0841944
3.3,0.950233,-0.137518
3.4,0.869397,-0.190545
3.5,0.753902,-0.243101
3.6,0.608351,-0.295005
3.7,0.438547,-0.346068
3.8,0.25126,-0.396101
3.9,0.0539554,-0.444905
4,-0.1455,-0.492279
4.1,-0.339155,-0.538014
4.2,-0.519289,-0.581899
4.3,-0.67872,-0.623715
4.4,-0.811093,-0.663238
4.5,-0.91113,-0.700241
4.6,-0.974844,-0.734488
4.7,-0.999693,-0.765742
4.8,-0.984688,-0.793758
4.9,-0.930426,-0.818286
5,-0.839072,-0.839072
NEXT N
-5,-0.839072,-0.839072
-4.9,-0.930426,-2.51137
-4.8,-0.984688,-3.46697
-4.7,-0.999693,-3.87273
-4.6,-0.974844,-3.86955
-4.5,-0.91113,-3.57512
-4.4,-0.811093,-3.08659
-4.3,-0.67872,-2.48296
-4.2,-0.519289,-1.82732
-4.1,-0.339155,-1.16883
-4,-0.1455,-0.544695
-3.9,0.0539554,0.0182257
-3.8,0.25126,0.501795
-3.7,0.438547,0.895217
-3.6,0.608351,1.19376
-3.5,0.753902,1.3976
-3.4,0.869397,1.51082
-3.3,0.950233,1.54049
-3.2,0.993185,1.49589
-3.1,0.996542,1.38775
-3,0.96017,1.22773
-2.9,0.88552,1.02783
-2.8,0.775566,0.800003
-2.7,0.634693,0.555761
-2.6,0.468517,0.305888
-2.5,0.283662,0.060213
-2.4,0.087499,-0.172572
-2.3,-0.112153,-0.38503
-2.2,-0.307333,-0.571061
-2.1,-0.490261,-0.725936
-2,-0.653644,-0.846296
-1.9,-0.790968,-0.930121
-1.8,-0.896758,-0.976666
-1.7,-0.966798,-0.986382
-1.6,-0.998295,-0.96081
-1.5,-0.989992,-0.902461
-1.4,-0.942222,-0.814686
-1.3,-0.856889,-0.701535
-1.2,-0.737394,-0.567613
-1.1,-0.588501,-0.417927
-1,-0.416147,-0.257743
-0.9,-0.227202,-0.0924358
-0.8,-0.0291995,0.0726525
-0.7,0.169967,0.232344
-0.6,0.362358,0.381752
-0.5,0.540302,0.516397
-0.4,0.696707,0.632305
-0.3,0.825336,0.726101
-0.2,0.921061,0.795081
-0.1,0.980067,0.83727
-1.02696e-15,1,0.851468
0.1,0.980067,0.83727
0.2,0.921061,0.795081
0.3,0.825336,0.726101
0.4,0.696707,0.632305
0.5,0.540302,0.516397
0.6,0.362358,0.381752
0.7,0.169967,0.232344
0.8,-0.0291995,0.0726525
0.9,-0.227202,-0.0924358
1,-0.416147,-0.257743
1.1,-0.588501,-0.417927
1.2,-0.737394,-0.567613
1.3,-0.856889,-0.701535
1.4,-0.942222,-0.814686
1.5,-0.989992,-0.902461
1.6,-0.998295,-0.96081
1.7,-0.966798,-0.986382
1.8,-0.896758,-0.976666
1.9,-0.790968,-0.930121
2,-0.653644,-0.846296
2.1,-0.490261,-0.725936
2.2,-0.307333,-0.571061
2.3,-0.112153,-0.38503
2.4,0.087499,-0.172572
2.5,0.283662,0.060213
2.6,0.468517,0.305888
2.7,0.634693,0.555761
2.8,0.775566,0.800003
2.9,0.88552,1.02783
3,0.96017,1.22773
3.1,0.996542,1.38775
3.2,0.993185,1.49589
3.3,0.950233,1.54049
3.4,0.869397,1.51082
3.5,0.753902,1.3976
3.6,0.608351,1.19376
3.7,0.438547,0.895217
3.8,0.25126,0.501795
3.9,0.0539554,0.0182257
4,-0.1455,-0.544695
4.1,-0.339155,-1.16883
4.2,-0.519289,-1.82732
4.3,-0.67872,-2.48296
4.4,-0.811093,-3.08659
4.5,-0.91113,-3.57512
4.6,-0.974844,-3.86955
4.7,-0.999693,-3.87273
4.8,-0.984688,-3.46697
4.9,-0.930426,-2.51137
5,-0.839072,-0.839072
NEXT N
-5,-0.839072,-0.839072
-4.9,-0.930426,-0.720963
-4.8,-0.984688,-0.735457
-4.7,-0.999693,-0.788783
-4.6,-0.974844,-0.827863
-4.5,-0.91113,-0.826419
-4.4,-0.811093,-0.775212
-4.3,-0.67872,-0.675344
-4.2,-0.519289,-0.533773
-4.1,-0.339155,-0.360406
-4,-0.1455,-0.166282
-3.9,0.0539554,0.0375298
-3.8,0.25126,0.240561
-3.7,0.438547,0.433301
-3.6,0.608351,0.607395
-3.5,0.753902,0.755756
-3.4,0.869397,0.872653
-3.3,0.950233,0.953763
-3.2,0.993185,0.996233
-3.1,0.996542,0.998709
-3,0.96017,0.961355
-2.9,0.88552,0.885829
-2.8,0.775566,0.775227
-2.7,0.634693,0.633971
-2.6,0.468517,0.467662
-2.5,0.283662,0.282871
-2.4,0.087499,0.0868956
-2.3,-0.112153,-0.112512
-2.2,-0.307333,-0.307452
-2.1,-0.490261,-0.490184
-2,-0.653644,-0.653438
-1.9,-0.790968,-0.790704
-1.8,-0.896758,-0.8965
-1.7,-0.966798,-0.96659
-1.6,-0.998295,-0.998162
-1.5,-0.989992,-0.989941
-1.4,-0.942222,-0.942241
-1.3,-0.856889,-0.856956
-1.2,-0.737394,-0.737486
-1.1,-0.588501,-0.588595
-1,-0.416147,-0.416225
-0.9,-0.227202,-0.227253
-0.8,-0.0291995,-0.0292216
-0.7,0.169967,0.16997
-0.6,0.362358,0.362378
-0.5,0.540302,0.54033
-0.4,0.696707,0.696733
-0.3,0.825336,0.825355
-0.2,0.921061,0.921071
-0.1,0.980067,0.980069
-1.02696e-15,1,1
0.1,0.980067,0.980069
0.2,0.921061,0.921071
0.3,0.825336,0.825355
0.4,0.696707,0.696733
0.5,0.540302,0.54033
0.6,0.362358,0.362378
0.7,0.169967,0.16997
0.8,-0.0291995,-0.0292216
0.9,-0.227202,-0.227253
1,-0.416147,-0.416225
1.1,-0.588501,-0.588595
1.2,-0.737394,-0.737486
1.3,-0.856889,-0.856956
1.4,-0.942222,-0.942241
1.5,-0.989992,-0.989941
1.6,-0.998295,-0.998162
1.7,-0.966798,-0.96659
1.8,-0.896758,-0.8965
1.9,-0.790968,-0.790704
2,-0.653644,-0.653438
2.1,-0.490261,-0.490184
2.2,-0.307333,-0.307452
2.3,-0.112153,-0.112512
2.4,0.087499,0.0868956
2.5,0.283662,0.282871
2.6,0.468517,0.467662
2.7,0.634693,0.633971
2.8,0.775566,0.775227
2.9,0.88552,0.885829
3,0.96017,0.961355
3.1,0.996542,0.998709
3.2,0.993185,0.996233
3.3,0.950233,0.953763
3.4,0.869397,0.872653
3.5,0.753902,0.755756
3.6,0.608351,0.607395
3.7,0.438547,0.433301
3.8,0.25126,0.240561
3.9,0.0539554,0.0375298
4,-0.1455,-0.166282
4.1,-0.339155,-0.360406
4.2,-0.519289,-0.533773
4.3,-0.67872,-0.675344
4.4,-0.811093,-0.775212
4.5,-0.91113,-0.826419
4.6,-0.974844,-0.827863
4.7,-0.999693,-0.788783
4.8,-0.984688,-0.735457
4.9,-0.930426,-0.720963
5,-0.839072,-0.839072
NEXT N
-5,-0.839072,-0.839072
-4.9,-0.930426,-0.925722
-4.8,-0.984688,-0.98037
-4.7,-0.999693,-0.997076
-4.6,-0.974844,-0.973748
-4.5,-0.91113,-0.910976
-4.4,-0.811093,-0.811357
-4.3,-0.67872,-0.679065
-4.2,-0.519289,-0.519553
-4.1,-0.339155,-0.339295
-4,-0.1455,-0.145538
-3.9,0.0539554,0.0539791
-3.8,0.25126,0.251306
-3.7,0.438547,0.43859
-3.6,0.608351,0.608379
-3.5,0.753902,0.753913
-3.4,0.869397,0.869395
-3.3,0.950233,0.950224
-3.2,0.993185,0.993175
-3.1,0.996542,0.996535
-3,0.96017,0.960167
-2.9,0.88552,0.885519
-2.8,0.775566,0.775568
-2.7,0.634693,0.634696
-2.6,0.468517,0.468519
-2.5,0.283662,0.283664
-2.4,0.087499,0.0874993
-2.3,-0.112153,-0.112153
-2.2,-0.307333,-0.307334
-2.1,-0.490261,-0.490262
-2,-0.653644,-0.653644
-1.9,-0.790968,-0.790968
-1.8,-0.896758,-0.896758
-1.7,-0.966798,-0.966798
-1.6,-0.998295,-0.998294
-1.5,-0.989992,-0.989992
-1.4,-0.942222,-0.942222
-1.3,-0.856889,-0.856889
-1.2,-0.737394,-0.737394
-1.1,-0.588501,-0.588501
-1,-0.416147,-0.416147
-0.9,-0.227202,-0.227202
-0.8,-0.0291995,-0.0291995
-0.7,0.169967,0.169967
-0.6,0.362358,0.362358
-0.5,0.540302,0.540303
-0.4,0.696707,0.696707
-0.3,0.825336,0.825336
-0.2,0.921061,0.921061
-0.1,0.980067,0.980066
-1.02696e-15,1,1
0.1,0.980067,0.980066
0.2,0.921061,0.921061
0.3,0.825336,0.825336
0.4,0.696707,0.696707
0.5,0.540302,0.540303
0.6,0.362358,0.362358
0.7,0.169967,0.169967
0.8,-0.0291995,-0.0291995
0.9,-0.227202,-0.227202
1,-0.416147,-0.416147
1.1,-0.588501,-0.588501
1.2,-0.737394,-0.737394
1.3,-0.856889,-0.856889
1.4,-0.942222,-0.942222
1.5,-0.989992,-0.989992
1.6,-0.998295,-0.998294
1.7,-0.966798,-0.966798
1.8,-0.896758,-0.896758
1.9,-0.790968,-0.790968
2,-0.653644,-0.653644
2.1,-0.490261,-0.490262
2.2,-0.307333,-0.307334
2.3,-0.112153,-0.112153
2.4,0.087499,0.0874993
2.5,0.283662,0.283664
2.6,0.468517,0.468519
2.7,0.634693,0.634696
2.8,0.775566,0.775568
2.9,0.88552,0.885519
3,0.96017,0.960167
3.1,0.996542,0.996535
3.2,0.993185,0.993175
3.3,0.950233,0.950224
3.4,0.869397,0.869395
3.5,0.753902,0.753913
3.6,0.608351,0.608379
3.7,0.438547,0.43859
3.8,0.25126,0.251306
3.9,0.0539554,0.0539791
4,-0.1455,-0.145538
4.1,-0.339155,-0.339295
4.2,-0.519289,-0.519553
4.3,-0.67872,-0.679065
4.4,-0.811093,-0.811357
4.5,-0.91113,-0.910976
4.6,-0.974844,-0.973748
4.7,-0.999693,-0.997076
4.8,-0.984688,-0.98037
4.9,-0.930426,-0.925722
5,-0.839072,-0.839072
NEXT N
