x_interp	 y_inter	 y_deriv2	
-5	 -0.839072	 0	
-4.9	 -0.772001	 0.0749539	
-4.8	 -0.704181	 0.149908	
-4.7	 -0.634862	 0.224862	
-4.6	 -0.563294	 0.299816	
-4.5	 -0.488728	 0.374769	
-4.4	 -0.410415	 0.449723	
-4.3	 -0.327604	 0.524677	
-4.2	 -0.239547	 0.599631	
-4.1	 -0.145493	 0.674585	
-4	 -0.044693	 0.749539	
-3.9	 0.0636021	 0.824493	
-3.8	 0.17949	 0.4046	
-3.7	 0.299424	 -0.0771479	
-3.6	 0.418585	 -0.558896	
-3.5	 0.532158	 -1.04064	
-3.4	 0.635324	 -1.52239	
-3.3	 0.723266	 -2.00414	
-3.2	 0.791167	 -2.48589	
-3.1	 0.834209	 -2.96764	
-3	 0.847575	 -3.44939	
-2.9	 0.826447	 -3.93113	
-2.8	 0.766007	 -4.41288	
-2.7	 0.66253	 -3.81241	
-2.6	 0.520954	 -2.90274	
-2.5	 0.350351	 -1.99307	
-2.4	 0.159817	 -1.08339	
-2.3	 -0.0415514	 -0.173719	
-2.2	 -0.244656	 0.735954	
-2.1	 -0.440402	 1.64563	
-2	 -0.619691	 2.5553	
-1.9	 -0.773428	 3.46497	
-1.8	 -0.892514	 4.37465	
-1.7	 -0.967854	 5.28432	
-1.6	 -0.99116	 5.10212	
-1.5	 -0.963546	 4.37397	
-1.4	 -0.892191	 3.64583	
-1.3	 -0.784379	 2.91769	
-1.2	 -0.64739	 2.18954	
-1.1	 -0.488505	 1.4614	
-1	 -0.315006	 0.733255	
-0.9	 -0.134175	 0.00511089	
-0.8	 0.0467073	 -0.723033	
-0.7	 0.220359	 -1.45118	
-0.6	 0.3795	 -2.17932	
-0.5	 0.517055	 -2.50294	
-0.4	 0.629687	 -2.50294	
-0.3	 0.71729	 -2.50294	
-0.2	 0.779863	 -2.50294	
-0.1	 0.817407	 -2.50294	
-1.02696e-15	 0.829922	 -2.50294	
0.1	 0.817407	 -2.50294	
0.2	 0.779863	 -2.50294	
0.3	 0.71729	 -2.50294	
0.4	 0.629687	 -2.50294	
0.5	 0.517055	 -2.50294	
0.6	 0.3795	 -2.17932	
0.7	 0.220359	 -1.45118	
0.8	 0.0467073	 -0.723033	
0.9	 -0.134175	 0.00511089	
1	 -0.315006	 0.733255	
1.1	 -0.488505	 1.4614	
1.2	 -0.64739	 2.18954	
1.3	 -0.784379	 2.91769	
1.4	 -0.892191	 3.64583	
1.5	 -0.963546	 4.37397	
1.6	 -0.99116	 5.10212	
1.7	 -0.967854	 5.28432	
1.8	 -0.892514	 4.37465	
1.9	 -0.773428	 3.46497	
2	 -0.619691	 2.5553	
2.1	 -0.440402	 1.64563	
2.2	 -0.244656	 0.735954	
2.3	 -0.0415514	 -0.173719	
2.4	 0.159817	 -1.08339	
2.5	 0.350351	 -1.99307	
2.6	 0.520954	 -2.90274	
2.7	 0.66253	 -3.81241	
2.8	 0.766007	 -4.41288	
2.9	 0.826447	 -3.93113	
3	 0.847575	 -3.44939	
3.1	 0.834209	 -2.96764	
3.2	 0.791167	 -2.48589	
3.3	 0.723266	 -2.00414	
3.4	 0.635324	 -1.52239	
3.5	 0.532158	 -1.04064	
3.6	 0.418585	 -0.558896	
3.7	 0.299424	 -0.0771479	
3.8	 0.17949	 0.4046	
3.9	 0.0636021	 0.824493	
4	 -0.044693	 0.749539	
4.1	 -0.145493	 0.674585	
4.2	 -0.239547	 0.599631	
4.3	 -0.327604	 0.524677	
4.4	 -0.410415	 0.449723	
4.5	 -0.488728	 0.374769	
4.6	 -0.563294	 0.299816	
4.7	 -0.634862	 0.224862	
4.8	 -0.704181	 0.149908	
4.9	 -0.772001	 0.0749539	
5	 -0.839072	 1.9984e-15	
