x_interp	 y_inter	 y_deriv2	
-5	 1.38879e-11	 0	
-4.9	 -0.000873189	 0.00427847	
-4.8	 -0.00170359	 0.00855694	
-4.7	 -0.00244843	 0.0128354	
-4.6	 -0.00306491	 0.0171139	
-4.5	 -0.00351025	 0.0213924	
-4.4	 -0.00374167	 0.0256708	
-4.3	 -0.00371638	 0.0299493	
-4.2	 -0.00339159	 0.0342278	
-4.1	 -0.00272453	 0.0385062	
-4	 -0.00167241	 0.0427847	
-3.9	 -0.00019244	 0.0470632	
-3.8	 0.00172834	 0.0286962	
-3.7	 0.00393603	 0.00749851	
-3.6	 0.00621869	 -0.0136992	
-3.5	 0.00836437	 -0.0348968	
-3.4	 0.0101611	 -0.0560945	
-3.3	 0.0113968	 -0.0772922	
-3.2	 0.0118597	 -0.0984899	
-3.1	 0.0113376	 -0.119688	
-3	 0.0096187	 -0.140885	
-2.9	 0.00649091	 -0.162083	
-2.8	 0.0017423	 -0.183281	
-2.7	 -0.00473849	 -0.104673	
-2.6	 -0.0122637	 0.00245125	
-2.5	 -0.0197643	 0.109575	
-2.4	 -0.0261692	 0.216699	
-2.3	 -0.0304071	 0.323823	
-2.2	 -0.0314068	 0.430947	
-2.1	 -0.0280971	 0.538071	
-2	 -0.0194066	 0.645194	
-1.9	 -0.00426415	 0.752318	
-1.8	 0.0184015	 0.859442	
-1.7	 0.0496615	 0.966566	
-1.6	 0.0904518	 0.890904	
-1.5	 0.140134	 0.723848	
-1.4	 0.197055	 0.556793	
-1.3	 0.259544	 0.389737	
-1.2	 0.32593	 0.222682	
-1.1	 0.394543	 0.055626	
-1	 0.463712	 -0.111429	
-0.9	 0.531767	 -0.278485	
-0.8	 0.597037	 -0.445541	
-0.7	 0.657852	 -0.612596	
-0.6	 0.712541	 -0.779652	
-0.5	 0.759481	 -0.853898	
-0.4	 0.797906	 -0.853898	
-0.3	 0.827793	 -0.853898	
-0.2	 0.84914	 -0.853898	
-0.1	 0.861949	 -0.853898	
-1.02696e-15	 0.866218	 -0.853898	
0.1	 0.861949	 -0.853898	
0.2	 0.84914	 -0.853898	
0.3	 0.827793	 -0.853898	
0.4	 0.797906	 -0.853898	
0.5	 0.759481	 -0.853898	
0.6	 0.712541	 -0.779652	
0.7	 0.657852	 -0.612596	
0.8	 0.597037	 -0.445541	
0.9	 0.531767	 -0.278485	
1	 0.463712	 -0.111429	
1.1	 0.394543	 0.055626	
1.2	 0.32593	 0.222682	
1.3	 0.259544	 0.389737	
1.4	 0.197055	 0.556793	
1.5	 0.140134	 0.723848	
1.6	 0.0904518	 0.890904	
1.7	 0.0496615	 0.966566	
1.8	 0.0184015	 0.859442	
1.9	 -0.00426415	 0.752318	
2	 -0.0194066	 0.645194	
2.1	 -0.0280971	 0.538071	
2.2	 -0.0314068	 0.430947	
2.3	 -0.0304071	 0.323823	
2.4	 -0.0261692	 0.216699	
2.5	 -0.0197643	 0.109575	
2.6	 -0.0122637	 0.00245125	
2.7	 -0.00473849	 -0.104673	
2.8	 0.0017423	 -0.183281	
2.9	 0.00649091	 -0.162083	
3	 0.0096187	 -0.140885	
3.1	 0.0113376	 -0.119688	
3.2	 0.0118597	 -0.0984899	
3.3	 0.0113968	 -0.0772922	
3.4	 0.0101611	 -0.0560945	
3.5	 0.00836437	 -0.0348968	
3.6	 0.00621869	 -0.0136992	
3.7	 0.00393603	 0.00749851	
3.8	 0.00172834	 0.0286962	
3.9	 -0.00019244	 0.0470632	
4	 -0.00167241	 0.0427847	
4.1	 -0.00272453	 0.0385062	
4.2	 -0.00339159	 0.0342278	
4.3	 -0.00371638	 0.0299493	
4.4	 -0.00374167	 0.0256708	
4.5	 -0.00351025	 0.0213924	
4.6	 -0.00306491	 0.0171139	
4.7	 -0.00244843	 0.0128354	
4.8	 -0.00170359	 0.00855694	
4.9	 -0.000873189	 0.00427847	
5	 1.38879e-11	 1.11022e-16	
