x_interp	 y_inter	 y_deriv2	
-5	 -1	 0	
-4.9	 -1.0271	 0.0260571	
-4.8	 -1.05394	 0.0521143	
-4.7	 -1.08026	 0.0781714	
-4.6	 -1.10579	 0.104229	
-4.5	 -1.13029	 0.130286	
-4.4	 -1.15348	 0.156343	
-4.3	 -1.1751	 0.1824	
-4.2	 -1.19491	 0.208457	
-4.1	 -1.21263	 0.234514	
-4	 -1.228	 0.260571	
-3.9	 -1.24077	 0.286629	
-3.8	 -1.25067	 0.312686	
-3.7	 -1.25744	 0.338743	
-3.6	 -1.26083	 0.3648	
-3.5	 -1.26057	 0.390857	
-3.4	 -1.2564	 0.416914	
-3.3	 -1.24806	 0.442971	
-3.2	 -1.2353	 0.469029	
-3.1	 -1.21784	 0.495086	
-3	 -1.19543	 0.521143	
-2.9	 -1.16781	 0.5472	
-2.8	 -1.13472	 0.573257	
-2.7	 -1.09589	 0.599314	
-2.6	 -1.05107	 0.625371	
-2.5	 -1	 0.651429	
-2.4	 -0.942546	 0.597943	
-2.3	 -0.879113	 0.544457	
-2.2	 -0.810235	 0.490971	
-2.1	 -0.736448	 0.437486	
-2	 -0.658286	 0.384	
-1.9	 -0.576283	 0.330514	
-1.8	 -0.490976	 0.277029	
-1.7	 -0.402898	 0.223543	
-1.6	 -0.312585	 0.170057	
-1.5	 -0.220571	 0.116571	
-1.4	 -0.127392	 0.0630857	
-1.3	 -0.0335817	 0.0096	
-1.2	 0.0603246	 -0.0438857	
-1.1	 0.153792	 -0.0973714	
-1	 0.246286	 -0.150857	
-0.9	 0.337271	 -0.204343	
-0.8	 0.426213	 -0.257829	
-0.7	 0.512576	 -0.311314	
-0.6	 0.595826	 -0.3648	
-0.5	 0.675429	 -0.418286	
-0.4	 0.750848	 -0.471771	
-0.3	 0.82155	 -0.525257	
-0.2	 0.886999	 -0.578743	
-0.1	 0.946661	 -0.632229	
-1.02696e-15	 1	 -0.685714	
0.1	 1.04663	 -0.651429	
0.2	 1.08674	 -0.617143	
0.3	 1.12069	 -0.582857	
0.4	 1.1488	 -0.548571	
0.5	 1.17143	 -0.514286	
0.6	 1.18891	 -0.48	
0.7	 1.2016	 -0.445714	
0.8	 1.20983	 -0.411429	
0.9	 1.21394	 -0.377143	
1	 1.21429	 -0.342857	
1.1	 1.2112	 -0.308571	
1.2	 1.20503	 -0.274286	
1.3	 1.19611	 -0.24	
1.4	 1.1848	 -0.205714	
1.5	 1.17143	 -0.171429	
1.6	 1.15634	 -0.137143	
1.7	 1.13989	 -0.102857	
1.8	 1.1224	 -0.0685714	
1.9	 1.10423	 -0.0342857	
2	 1.08571	 -1.11022e-16	
2.1	 1.0672	 0.0342857	
2.2	 1.04903	 0.0685714	
2.3	 1.03154	 0.102857	
2.4	 1.01509	 0.137143	
2.5	 1	 0.171429	
2.6	 0.98656	 0.164571	
2.7	 0.974766	 0.157714	
2.8	 0.964549	 0.150857	
2.9	 0.95584	 0.144	
3	 0.948571	 0.137143	
3.1	 0.942674	 0.130286	
3.2	 0.93808	 0.123429	
3.3	 0.93472	 0.116571	
3.4	 0.932526	 0.109714	
3.5	 0.931429	 0.102857	
3.6	 0.93136	 0.096	
3.7	 0.932251	 0.0891429	
3.8	 0.934034	 0.0822857	
3.9	 0.93664	 0.0754286	
4	 0.94	 0.0685714	
4.1	 0.944046	 0.0617143	
4.2	 0.948709	 0.0548571	
4.3	 0.95392	 0.048	
4.4	 0.959611	 0.0411429	
4.5	 0.965714	 0.0342857	
4.6	 0.97216	 0.0274286	
4.7	 0.97888	 0.0205714	
4.8	 0.985806	 0.0137143	
4.9	 0.992869	 0.00685714	
5	 1	 1.66533e-16	
