x_interp	 y_inter	 y_deriv2	
-5	 -1	 0	
-4.9	 -0.998833	 -0.00571765	
-4.8	 -0.997723	 -0.0114353	
-4.7	 -0.996728	 -0.0171529	
-4.6	 -0.995904	 -0.0228706	
-4.5	 -0.995309	 -0.0285882	
-4.4	 -0.995	 -0.0343059	
-4.3	 -0.995033	 -0.0400235	
-4.2	 -0.995467	 -0.0457412	
-4.1	 -0.996359	 -0.0514588	
-4	 -0.997765	 -0.0571765	
-3.9	 -0.999742	 -0.0628941	
-3.8	 -1.00231	 -0.0381176	
-3.7	 -1.00526	 -0.00952941	
-3.6	 -1.0083	 0.0190588	
-3.5	 -1.01115	 0.0476471	
-3.4	 -1.01353	 0.0762353	
-3.3	 -1.01514	 0.104824	
-3.2	 -1.01571	 0.133412	
-3.1	 -1.01494	 0.162	
-3	 -1.01255	 0.190588	
-2.9	 -1.00825	 0.219176	
-2.8	 -1.00177	 0.247765	
-2.7	 -0.992911	 0.169624	
-2.6	 -0.982361	 0.0609882	
-2.5	 -0.971201	 -0.0476471	
-2.4	 -0.960517	 -0.156282	
-2.3	 -0.951397	 -0.264918	
-2.2	 -0.944925	 -0.373553	
-2.1	 -0.942189	 -0.482188	
-2	 -0.944275	 -0.590824	
-1.9	 -0.952269	 -0.699459	
-1.8	 -0.967257	 -0.808094	
-1.7	 -0.990327	 -0.916729	
-1.6	 -1.02231	 -0.682306	
-1.5	 -1.06108	 -0.276353	
-1.4	 -1.10262	 0.1296	
-1.3	 -1.14286	 0.535553	
-1.2	 -1.17775	 0.941506	
-1.1	 -1.20322	 1.34746	
-1	 -1.21522	 1.75341	
-0.9	 -1.20968	 2.15936	
-0.8	 -1.18255	 2.56532	
-0.7	 -1.12976	 2.97127	
-0.6	 -1.04726	 3.37722	
-0.5	 -0.931294	 3.20188	
-0.4	 -0.783458	 2.56151	
-0.3	 -0.610007	 1.92113	
-0.2	 -0.417344	 1.28075	
-0.1	 -0.211874	 0.640376	
-1.02696e-15	 -2.22045e-15	 5.77316e-15	
0.1	 0.211874	 -0.640376	
0.2	 0.417344	 -1.28075	
0.3	 0.610007	 -1.92113	
0.4	 0.783458	 -2.56151	
0.5	 0.931294	 -3.20188	
0.6	 1.04726	 -3.37722	
0.7	 1.12976	 -2.97127	
0.8	 1.18255	 -2.56532	
0.9	 1.20968	 -2.15936	
1	 1.21522	 -1.75341	
1.1	 1.20322	 -1.34746	
1.2	 1.17775	 -0.941506	
1.3	 1.14286	 -0.535553	
1.4	 1.10262	 -0.1296	
1.5	 1.06108	 0.276353	
1.6	 1.02231	 0.682306	
1.7	 0.990327	 0.916729	
1.8	 0.967257	 0.808094	
1.9	 0.952269	 0.699459	
2	 0.944275	 0.590824	
2.1	 0.942189	 0.482188	
2.2	 0.944925	 0.373553	
2.3	 0.951397	 0.264918	
2.4	 0.960517	 0.156282	
2.5	 0.971201	 0.0476471	
2.6	 0.982361	 -0.0609882	
2.7	 0.992911	 -0.169624	
2.8	 1.00177	 -0.247765	
2.9	 1.00825	 -0.219176	
3	 1.01255	 -0.190588	
3.1	 1.01494	 -0.162	
3.2	 1.01571	 -0.133412	
3.3	 1.01514	 -0.104824	
3.4	 1.01353	 -0.0762353	
3.5	 1.01115	 -0.0476471	
3.6	 1.0083	 -0.0190588	
3.7	 1.00526	 0.00952941	
3.8	 1.00231	 0.0381176	
3.9	 0.999742	 0.0628941	
4	 0.997765	 0.0571765	
4.1	 0.996359	 0.0514588	
4.2	 0.995467	 0.0457412	
4.3	 0.995033	 0.0400235	
4.4	 0.995	 0.0343059	
4.5	 0.995309	 0.0285882	
4.6	 0.995904	 0.0228706	
4.7	 0.996728	 0.0171529	
4.8	 0.997723	 0.0114353	
4.9	 0.998833	 0.00571765	
5	 1	 1.52656e-16	
