x_interp	 y_inter	 y_deriv2	
-5	 -0.839072	 0	
-4.9	 -0.889634	 0.926484	
-4.8	 -0.930931	 1.85297	
-4.7	 -0.953698	 2.77945	
-4.6	 -0.948671	 3.70594	
-4.5	 -0.906585	 4.63242	
-4.4	 -0.81942	 4.1816	
-4.3	 -0.690497	 3.23889	
-4.2	 -0.529184	 2.29617	
-4.1	 -0.34491	 1.35346	
-4	 -0.147101	 0.41074	
-3.9	 0.0548619	 -0.40567	
-3.8	 0.252833	 -1.08174	
-3.7	 0.439987	 -1.75781	
-3.6	 0.609563	 -2.43389	
-3.5	 0.7548	 -3.10996	
-3.4	 0.868948	 -3.65302	
-3.3	 0.947083	 -3.69732	
-3.2	 0.988245	 -3.74162	
-3.1	 0.99199	 -3.78592	
-3	 0.957877	 -3.83022	
-2.9	 0.885461	 -3.87452	
-2.8	 0.775379	 -3.19739	
-2.7	 0.633323	 -2.48017	
-2.6	 0.466466	 -1.76296	
-2.5	 0.281979	 -1.04575	
-2.4	 0.0870345	 -0.328532	
-2.3	 -0.111187	 0.398779	
-2.2	 -0.305421	 1.13075	
-2.1	 -0.488347	 1.86272	
-2	 -0.652645	 2.59469	
-1.9	 -0.790997	 3.32666	
-1.8	 -0.896171	 3.75631	
-1.7	 -0.964015	 3.77027	
-1.6	 -0.994156	 3.78423	
-1.5	 -0.986454	 3.7982	
-1.4	 -0.94077	 3.81216	
-1.3	 -0.85697	 3.71026	
-1.2	 -0.736798	 2.99049	
-1.1	 -0.58672	 2.27071	
-1	 -0.413935	 1.55093	
-0.9	 -0.225641	 0.831157	
-0.8	 -0.0290359	 0.11138	
-0.7	 0.168675	 -0.614427	
-0.6	 0.360242	 -1.34094	
-0.5	 0.5384	 -2.06746	
-0.4	 0.695883	 -2.79398	
-0.3	 0.825426	 -3.52049	
-0.2	 0.920069	 -3.78816	
-0.1	 0.976892	 -3.78816	
-1.02696e-15	 0.995833	 -3.78816	
0.1	 0.976892	 -3.78816	
0.2	 0.920069	 -3.78816	
0.3	 0.825426	 -3.52049	
0.4	 0.695883	 -2.79398	
0.5	 0.5384	 -2.06746	
0.6	 0.360242	 -1.34094	
0.7	 0.168675	 -0.614427	
0.8	 -0.0290359	 0.11138	
0.9	 -0.225641	 0.831157	
1	 -0.413935	 1.55093	
1.1	 -0.58672	 2.27071	
1.2	 -0.736798	 2.99049	
1.3	 -0.85697	 3.71026	
1.4	 -0.94077	 3.81216	
1.5	 -0.986454	 3.7982	
1.6	 -0.994156	 3.78423	
1.7	 -0.964015	 3.77027	
1.8	 -0.896171	 3.75631	
1.9	 -0.790997	 3.32666	
2	 -0.652645	 2.59469	
2.1	 -0.488347	 1.86272	
2.2	 -0.305421	 1.13075	
2.3	 -0.111187	 0.398779	
2.4	 0.0870345	 -0.328532	
2.5	 0.281979	 -1.04575	
2.6	 0.466466	 -1.76296	
2.7	 0.633323	 -2.48017	
2.8	 0.775379	 -3.19739	
2.9	 0.885461	 -3.87452	
3	 0.957877	 -3.83022	
3.1	 0.99199	 -3.78592	
3.2	 0.988245	 -3.74162	
3.3	 0.947083	 -3.69732	
3.4	 0.868948	 -3.65302	
3.5	 0.7548	 -3.10996	
3.6	 0.609563	 -2.43389	
3.7	 0.439987	 -1.75781	
3.8	 0.252833	 -1.08174	
3.9	 0.0548619	 -0.40567	
4	 -0.147101	 0.41074	
4.1	 -0.34491	 1.35346	
4.2	 -0.529184	 2.29617	
4.3	 -0.690497	 3.23889	
4.4	 -0.81942	 4.1816	
4.5	 -0.906585	 4.63242	
4.6	 -0.948671	 3.70594	
4.7	 -0.953698	 2.77945	
4.8	 -0.930931	 1.85297	
4.9	 -0.889634	 0.926484	
5	 -0.839072	 2.4869e-14	
