x_interp	 y_inter	 y_deriv2	
-5	 1.38879e-11	 0	
-4.9	 -0.0169831	 0.0164042	
-4.8	 -0.0338022	 0.0328084	
-4.7	 -0.0502933	 0.0492126	
-4.6	 -0.0662922	 0.0656168	
-4.5	 -0.0816349	 0.082021	
-4.4	 -0.0961574	 0.0984252	
-4.3	 -0.109696	 0.114829	
-4.2	 -0.122086	 0.131234	
-4.1	 -0.133163	 0.147638	
-4	 -0.142765	 0.164042	
-3.9	 -0.150725	 0.180446	
-3.8	 -0.156882	 0.19685	
-3.7	 -0.16107	 0.213255	
-3.6	 -0.163125	 0.229659	
-3.5	 -0.162884	 0.246063	
-3.4	 -0.160182	 0.262467	
-3.3	 -0.154855	 0.278871	
-3.2	 -0.14674	 0.295275	
-3.1	 -0.135672	 0.31168	
-3	 -0.121487	 0.328084	
-2.9	 -0.104021	 0.344488	
-2.8	 -0.0831109	 0.360892	
-2.7	 -0.0585914	 0.377296	
-2.6	 -0.030299	 0.393701	
-2.5	 0.00193045	 0.410105	
-2.4	 0.0381607	 0.366336	
-2.3	 0.0780542	 0.322566	
-2.2	 0.121173	 0.278797	
-2.1	 0.167081	 0.235028	
-2	 0.215338	 0.191259	
-1.9	 0.265508	 0.147489	
-1.8	 0.317153	 0.10372	
-1.7	 0.369835	 0.059951	
-1.6	 0.423117	 0.0161818	
-1.5	 0.47656	 -0.0275874	
-1.4	 0.529728	 -0.0713566	
-1.3	 0.582182	 -0.115126	
-1.2	 0.633485	 -0.158895	
-1.1	 0.683199	 -0.202664	
-1	 0.730886	 -0.246434	
-0.9	 0.776109	 -0.290203	
-0.8	 0.818429	 -0.333972	
-0.7	 0.857411	 -0.377741	
-0.6	 0.892614	 -0.42151	
-0.5	 0.923603	 -0.46528	
-0.4	 0.949939	 -0.509049	
-0.3	 0.971184	 -0.552818	
-0.2	 0.986901	 -0.596587	
-0.1	 0.996652	 -0.640357	
-1.02696e-15	 1	 -0.684126	
0.1	 0.996652	 -0.640357	
0.2	 0.986901	 -0.596587	
0.3	 0.971184	 -0.552818	
0.4	 0.949939	 -0.509049	
0.5	 0.923603	 -0.46528	
0.6	 0.892614	 -0.42151	
0.7	 0.857411	 -0.377741	
0.8	 0.818429	 -0.333972	
0.9	 0.776109	 -0.290203	
1	 0.730886	 -0.246434	
1.1	 0.683199	 -0.202664	
1.2	 0.633485	 -0.158895	
1.3	 0.582182	 -0.115126	
1.4	 0.529728	 -0.0713566	
1.5	 0.47656	 -0.0275874	
1.6	 0.423117	 0.0161818	
1.7	 0.369835	 0.059951	
1.8	 0.317153	 0.10372	
1.9	 0.265508	 0.147489	
2	 0.215338	 0.191259	
2.1	 0.167081	 0.235028	
2.2	 0.121173	 0.278797	
2.3	 0.0780542	 0.322566	
2.4	 0.0381607	 0.366336	
2.5	 0.00193045	 0.410105	
2.6	 -0.030299	 0.393701	
2.7	 -0.0585914	 0.377296	
2.8	 -0.0831109	 0.360892	
2.9	 -0.104021	 0.344488	
3	 -0.121487	 0.328084	
3.1	 -0.135672	 0.31168	
3.2	 -0.14674	 0.295275	
3.3	 -0.154855	 0.278871	
3.4	 -0.160182	 0.262467	
3.5	 -0.162884	 0.246063	
3.6	 -0.163125	 0.229659	
3.7	 -0.16107	 0.213255	
3.8	 -0.156882	 0.19685	
3.9	 -0.150725	 0.180446	
4	 -0.142765	 0.164042	
4.1	 -0.133163	 0.147638	
4.2	 -0.122086	 0.131234	
4.3	 -0.109696	 0.114829	
4.4	 -0.0961574	 0.0984252	
4.5	 -0.0816349	 0.082021	
4.6	 -0.0662922	 0.0656168	
4.7	 -0.0502933	 0.0492126	
4.8	 -0.0338022	 0.0328084	
4.9	 -0.0169831	 0.0164042	
5	 1.38873e-11	 4.44089e-16	
