q = 0.000000 , x = [-nan   , -nan   , -nan   , -nan   , -nan   ]  , c = [-nan   , -nan   , -nan   , -nan   , -nan   ]
q = 0.350000 , x = [-4.848485   , 2.671780   , -0.970360   , -2.026326   , 3.308428   ]  , c = [-4.848485   , 2.671780   , -0.970360   , -2.026326   , 3.308428   ]
q = 0.360000 , x = [-4.878049   , 2.679726   , -0.972485   , -2.043140   , 3.329954   ]  , c = [-4.878049   , 2.679726   , -0.972485   , -2.043140   , 3.329954   ]
q = 0.370000 , x = [-4.907975   , 2.687768   , -0.974636   , -2.060161   , 3.351745   ]  , c = [-4.907975   , 2.687768   , -0.974636   , -2.060161   , 3.351745   ]
q = 0.380000 , x = [-4.938272   , 2.695910   , -0.976813   , -2.077392   , 3.373804   ]  , c = [-4.938272   , 2.695910   , -0.976813   , -2.077392   , 3.373804   ]
q = 0.390000 , x = [-4.968944   , 2.704154   , -0.979018   , -2.094837   , 3.396137   ]  , c = [-4.968944   , 2.704154   , -0.979018   , -2.094837   , 3.396137   ]
q = 0.400000 , x = [-5.000000   , 2.712500   , -0.981250   , -2.112500   , 3.418750   ]  , c = [-5.000000   , 2.712500   , -0.981250   , -2.112500   , 3.418750   ]
q = 0.410000 , x = [-5.031447   , 2.720951   , -0.983510   , -2.130385   , 3.441647   ]  , c = [-5.031447   , 2.720951   , -0.983510   , -2.130385   , 3.441647   ]
q = 0.420000 , x = [-5.063291   , 2.729509   , -0.985799   , -2.148497   , 3.464834   ]  , c = [-5.063291   , 2.729509   , -0.985799   , -2.148497   , 3.464834   ]
q = 0.430000 , x = [-5.095541   , 2.738177   , -0.988117   , -2.166839   , 3.488316   ]  , c = [-5.095541   , 2.738177   , -0.988117   , -2.166839   , 3.488316   ]
q = 0.440000 , x = [-5.128205   , 2.746955   , -0.990465   , -2.185417   , 3.512099   ]  , c = [-5.128205   , 2.746955   , -0.990465   , -2.185417   , 3.512099   ]
q = 0.450000 , x = [-5.161290   , 2.755847   , -0.992843   , -2.204234   , 3.536190   ]  , c = [-5.161290   , 2.755847   , -0.992843   , -2.204234   , 3.536190   ]
q = 0.460000 , x = [-5.194805   , 2.764854   , -0.995252   , -2.223295   , 3.560593   ]  , c = [-5.194805   , 2.764854   , -0.995252   , -2.223295   , 3.560593   ]
q = 0.470000 , x = [-5.228758   , 2.773979   , -0.997692   , -2.242606   , 3.585315   ]  , c = [-5.228758   , 2.773979   , -0.997692   , -2.242606   , 3.585315   ]
q = 0.480000 , x = [-5.263158   , 2.783224   , -1.000164   , -2.262171   , 3.610362   ]  , c = [-5.263158   , 2.783224   , -1.000164   , -2.262171   , 3.610362   ]
q = 0.490000 , x = [-5.298013   , 2.792591   , -1.002670   , -2.281995   , 3.635741   ]  , c = [-5.298013   , 2.792591   , -1.002670   , -2.281995   , 3.635741   ]
q = 0.500000 , x = [-5.333333   , 2.802083   , -1.005208   , -2.302083   , 3.661458   ]  , c = [-5.333333   , 2.802083   , -1.005208   , -2.302083   , 3.661458   ]
q = 0.510000 , x = [-5.369128   , 2.811703   , -1.007781   , -2.322441   , 3.687521   ]  , c = [-5.369128   , 2.811703   , -1.007781   , -2.322441   , 3.687521   ]
q = 0.520000 , x = [-5.405405   , 2.821453   , -1.010389   , -2.343074   , 3.713936   ]  , c = [-5.405405   , 2.821453   , -1.010389   , -2.343074   , 3.713936   ]
q = 0.530000 , x = [-5.442177   , 2.831335   , -1.013031   , -2.363988   , 3.740710   ]  , c = [-5.442177   , 2.831335   , -1.013031   , -2.363988   , 3.740710   ]
q = 0.540000 , x = [-5.479452   , 2.841353   , -1.015711   , -2.385188   , 3.767851   ]  , c = [-5.479452   , 2.841353   , -1.015711   , -2.385188   , 3.767851   ]
q = 0.550000 , x = [-5.517241   , 2.851509   , -1.018427   , -2.406681   , 3.795366   ]  , c = [-5.517241   , 2.851509   , -1.018427   , -2.406681   , 3.795366   ]
q = 0.560000 , x = [-5.555556   , 2.861806   , -1.021181   , -2.428472   , 3.823264   ]  , c = [-5.555556   , 2.861806   , -1.021181   , -2.428472   , 3.823264   ]
q = 0.570000 , x = [-5.594406   , 2.872247   , -1.023973   , -2.450568   , 3.851552   ]  , c = [-5.594406   , 2.872247   , -1.023973   , -2.450568   , 3.851552   ]
q = 0.580000 , x = [-5.633803   , 2.882835   , -1.026805   , -2.472975   , 3.880238   ]  , c = [-5.633803   , 2.882835   , -1.026805   , -2.472975   , 3.880238   ]
q = 0.590000 , x = [-5.673759   , 2.893573   , -1.029676   , -2.495700   , 3.909331   ]  , c = [-5.673759   , 2.893573   , -1.029676   , -2.495700   , 3.909331   ]
q = 0.600000 , x = [-5.714286   , 2.904464   , -1.032589   , -2.518750   , 3.938839   ]  , c = [-5.714286   , 2.904464   , -1.032589   , -2.518750   , 3.938839   ]
q = 0.610000 , x = [-5.755396   , 2.915513   , -1.035544   , -2.542131   , 3.968772   ]  , c = [-5.755396   , 2.915513   , -1.035544   , -2.542131   , 3.968772   ]
q = 0.620000 , x = [-5.797101   , 2.926721   , -1.038542   , -2.565851   , 3.999139   ]  , c = [-5.797101   , 2.926721   , -1.038542   , -2.565851   , 3.999139   ]
q = 0.630000 , x = [-5.839416   , 2.938093   , -1.041583   , -2.589918   , 4.029950   ]  , c = [-5.839416   , 2.938093   , -1.041583   , -2.589918   , 4.029950   ]
q = 0.640000 , x = [-5.882353   , 2.949632   , -1.044669   , -2.614338   , 4.061213   ]  , c = [-5.882353   , 2.949632   , -1.044669   , -2.614338   , 4.061213   ]
q = 0.650000 , x = [-5.925926   , 2.961343   , -1.047801   , -2.639120   , 4.092940   ]  , c = [-5.925926   , 2.961343   , -1.047801   , -2.639120   , 4.092940   ]
q = 0.660000 , x = [-5.970149   , 2.973228   , -1.050979   , -2.664272   , 4.125140   ]  , c = [-5.970149   , 2.973228   , -1.050979   , -2.664272   , 4.125140   ]
q = 0.670000 , x = [-6.015038   , 2.985291   , -1.054206   , -2.689803   , 4.157824   ]  , c = [-6.015038   , 2.985291   , -1.054206   , -2.689803   , 4.157824   ]
q = 0.680000 , x = [-6.060606   , 2.997538   , -1.057481   , -2.715720   , 4.191004   ]  , c = [-6.060606   , 2.997538   , -1.057481   , -2.715720   , 4.191004   ]
q = 0.690000 , x = [-6.106870   , 3.009971   , -1.060806   , -2.742032   , 4.224690   ]  , c = [-6.106870   , 3.009971   , -1.060806   , -2.742032   , 4.224690   ]
q = 0.700000 , x = [-6.153846   , 3.022596   , -1.064183   , -2.768750   , 4.258894   ]  , c = [-6.153846   , 3.022596   , -1.064183   , -2.768750   , 4.258894   ]
q = 0.710000 , x = [-6.201550   , 3.035417   , -1.067611   , -2.795882   , 4.293629   ]  , c = [-6.201550   , 3.035417   , -1.067611   , -2.795882   , 4.293629   ]
q = 0.720000 , x = [-6.250000   , 3.048438   , -1.071094   , -2.823438   , 4.328906   ]  , c = [-6.250000   , 3.048438   , -1.071094   , -2.823438   , 4.328906   ]
q = 0.730000 , x = [-6.299213   , 3.061663   , -1.074631   , -2.851427   , 4.364739   ]  , c = [-6.299213   , 3.061663   , -1.074631   , -2.851427   , 4.364739   ]
q = 0.740000 , x = [-6.349206   , 3.075099   , -1.078224   , -2.879861   , 4.401141   ]  , c = [-6.349206   , 3.075099   , -1.078224   , -2.879861   , 4.401141   ]
q = 0.750000 , x = [-6.400000   , 3.088750   , -1.081875   , -2.908750   , 4.438125   ]  , c = [-6.400000   , 3.088750   , -1.081875   , -2.908750   , 4.438125   ]
q = 0.760000 , x = [-6.451613   , 3.102621   , -1.085585   , -2.938105   , 4.475706   ]  , c = [-6.451613   , 3.102621   , -1.085585   , -2.938105   , 4.475706   ]
q = 0.770000 , x = [-6.504065   , 3.116717   , -1.089355   , -2.967937   , 4.513897   ]  , c = [-6.504065   , 3.116717   , -1.089355   , -2.967937   , 4.513897   ]
q = 0.780000 , x = [-6.557377   , 3.131045   , -1.093186   , -2.998258   , 4.552715   ]  , c = [-6.557377   , 3.131045   , -1.093186   , -2.998258   , 4.552715   ]
q = 0.790000 , x = [-6.611570   , 3.145610   , -1.097082   , -3.029081   , 4.592175   ]  , c = [-6.611570   , 3.145610   , -1.097082   , -3.029081   , 4.592175   ]
q = 0.800000 , x = [-6.666667   , 3.160417   , -1.101042   , -3.060417   , 4.632292   ]  , c = [-6.666667   , 3.160417   , -1.101042   , -3.060417   , 4.632292   ]
q = 0.810000 , x = [-6.722689   , 3.175473   , -1.105068   , -3.092279   , 4.673083   ]  , c = [-6.722689   , 3.175473   , -1.105068   , -3.092279   , 4.673083   ]
q = 0.820000 , x = [-6.779661   , 3.190784   , -1.109163   , -3.124682   , 4.714566   ]  , c = [-6.779661   , 3.190784   , -1.109163   , -3.124682   , 4.714566   ]
q = 0.830000 , x = [-6.837607   , 3.206357   , -1.113328   , -3.157639   , 4.756757   ]  , c = [-6.837607   , 3.206357   , -1.113328   , -3.157639   , 4.756757   ]
