q = 0.000000 , x = [-nan   , -nan   , -nan   , -nan   , -nan   ]  , c = [-nan   , -nan   , -nan   , -nan   , -nan   ]
q = 1.520000 , x = [-16.666667   , 5.847917   , -1.819792   , -8.747917   , 11.913542   ]  , c = [-16.666667   , 5.847917   , -1.819792   , -8.747917   , 11.913542   ]
q = 1.530000 , x = [-17.021277   , 5.943218   , -1.845279   , -8.949601   , 12.171742   ]  , c = [-17.021277   , 5.943218   , -1.845279   , -8.949601   , 12.171742   ]
q = 1.540000 , x = [-17.391304   , 6.042663   , -1.871875   , -9.160054   , 12.441168   ]  , c = [-17.391304   , 6.042663   , -1.871875   , -9.160054   , 12.441168   ]
q = 1.550000 , x = [-17.777778   , 6.146528   , -1.899653   , -9.379861   , 12.722569   ]  , c = [-17.777778   , 6.146528   , -1.899653   , -9.379861   , 12.722569   ]
q = 1.560000 , x = [-18.181818   , 6.255114   , -1.928693   , -9.609659   , 13.016761   ]  , c = [-18.181818   , 6.255114   , -1.928693   , -9.609659   , 13.016761   ]
q = 1.570000 , x = [-18.604651   , 6.368750   , -1.959084   , -9.850145   , 13.324637   ]  , c = [-18.604651   , 6.368750   , -1.959084   , -9.850145   , 13.324637   ]
q = 1.580000 , x = [-19.047619   , 6.487798   , -1.990923   , -10.102083   , 13.647173   ]  , c = [-19.047619   , 6.487798   , -1.990923   , -10.102083   , 13.647173   ]
q = 1.590000 , x = [-19.512195   , 6.612652   , -2.024314   , -10.366311   , 13.985442   ]  , c = [-19.512195   , 6.612652   , -2.024314   , -10.366311   , 13.985442   ]
q = 1.600000 , x = [-20.000000   , 6.743750   , -2.059375   , -10.643750   , 14.340625   ]  , c = [-20.000000   , 6.743750   , -2.059375   , -10.643750   , 14.340625   ]
q = 1.610000 , x = [-20.512821   , 6.881571   , -2.096234   , -10.935417   , 14.714022   ]  , c = [-20.512821   , 6.881571   , -2.096234   , -10.935417   , 14.714022   ]
q = 1.620000 , x = [-21.052632   , 7.026645   , -2.135033   , -11.242434   , 15.107072   ]  , c = [-21.052632   , 7.026645   , -2.135033   , -11.242434   , 15.107072   ]
q = 1.630000 , x = [-21.621622   , 7.179561   , -2.175929   , -11.566047   , 15.521368   ]  , c = [-21.621622   , 7.179561   , -2.175929   , -11.566047   , 15.521368   ]
q = 1.640000 , x = [-22.222222   , 7.340972   , -2.219097   , -11.907639   , 15.958681   ]  , c = [-22.222222   , 7.340972   , -2.219097   , -11.907639   , 15.958681   ]
q = 1.650000 , x = [-22.857143   , 7.511607   , -2.264732   , -12.268750   , 16.420982   ]  , c = [-22.857143   , 7.511607   , -2.264732   , -12.268750   , 16.420982   ]
q = 1.660000 , x = [-23.529412   , 7.692279   , -2.313051   , -12.651103   , 16.910478   ]  , c = [-23.529412   , 7.692279   , -2.313051   , -12.651103   , 16.910478   ]
q = 1.670000 , x = [-24.242424   , 7.883902   , -2.364299   , -13.056629   , 17.429640   ]  , c = [-24.242424   , 7.883902   , -2.364299   , -13.056629   , 17.429640   ]
q = 1.680000 , x = [-25.000000   , 8.087500   , -2.418750   , -13.487500   , 17.981250   ]  , c = [-25.000000   , 8.087500   , -2.418750   , -13.487500   , 17.981250   ]
q = 1.690000 , x = [-25.806452   , 8.304234   , -2.476714   , -13.946169   , 18.568448   ]  , c = [-25.806452   , 8.304234   , -2.476714   , -13.946169   , 18.568448   ]
q = 1.700000 , x = [-26.666667   , 8.535417   , -2.538542   , -14.435417   , 19.194792   ]  , c = [-26.666667   , 8.535417   , -2.538542   , -14.435417   , 19.194792   ]
q = 1.710000 , x = [-27.586207   , 8.782543   , -2.604634   , -14.958405   , 19.864332   ]  , c = [-27.586207   , 8.782543   , -2.604634   , -14.958405   , 19.864332   ]
q = 1.720000 , x = [-28.571429   , 9.047321   , -2.675446   , -15.518750   , 20.581696   ]  , c = [-28.571429   , 9.047321   , -2.675446   , -15.518750   , 20.581696   ]
q = 1.730000 , x = [-29.629630   , 9.331713   , -2.751505   , -16.120602   , 21.352199   ]  , c = [-29.629630   , 9.331713   , -2.751505   , -16.120602   , 21.352199   ]
q = 1.740000 , x = [-30.769231   , 9.637981   , -2.833413   , -16.768750   , 22.181971   ]  , c = [-30.769231   , 9.637981   , -2.833413   , -16.768750   , 22.181971   ]
q = 1.750000 , x = [-32.000000   , 9.968750   , -2.921875   , -17.468750   , 23.078125   ]  , c = [-32.000000   , 9.968750   , -2.921875   , -17.468750   , 23.078125   ]
q = 1.760000 , x = [-33.333333   , 10.327083   , -3.017708   , -18.227083   , 24.048958   ]  , c = [-33.333333   , 10.327083   , -3.017708   , -18.227083   , 24.048958   ]
q = 1.770000 , x = [-34.782609   , 10.716576   , -3.121875   , -19.051359   , 25.104212   ]  , c = [-34.782609   , 10.716576   , -3.121875   , -19.051359   , 25.104212   ]
q = 1.780000 , x = [-36.363636   , 11.141477   , -3.235511   , -19.950568   , 26.255398   ]  , c = [-36.363636   , 11.141477   , -3.235511   , -19.950568   , 26.255398   ]
q = 1.790000 , x = [-38.095238   , 11.606845   , -3.359970   , -20.935417   , 27.516220   ]  , c = [-38.095238   , 11.606845   , -3.359970   , -20.935417   , 27.516220   ]
q = 1.800000 , x = [-40.000000   , 12.118750   , -3.496875   , -22.018750   , 28.903125   ]  , c = [-40.000000   , 12.118750   , -3.496875   , -22.018750   , 28.903125   ]
q = 1.810000 , x = [-42.105263   , 12.684539   , -3.648191   , -23.216118   , 30.436020   ]  , c = [-42.105263   , 12.684539   , -3.648191   , -23.216118   , 30.436020   ]
q = 1.820000 , x = [-44.444444   , 13.313194   , -3.816319   , -24.546528   , 32.139236   ]  , c = [-44.444444   , 13.313194   , -3.816319   , -24.546528   , 32.139236   ]
q = 1.830000 , x = [-47.058824   , 14.015809   , -4.004228   , -26.033456   , 34.042831   ]  , c = [-47.058824   , 14.015809   , -4.004228   , -26.033456   , 34.042831   ]
q = 1.840000 , x = [-50.000000   , 14.806250   , -4.215625   , -27.706250   , 36.184375   ]  , c = [-50.000000   , 14.806250   , -4.215625   , -27.706250   , 36.184375   ]
q = 1.850000 , x = [-53.333333   , 15.702083   , -4.455208   , -29.602083   , 38.611458   ]  , c = [-53.333333   , 15.702083   , -4.455208   , -29.602083   , 38.611458   ]
q = 1.860000 , x = [-57.142857   , 16.725893   , -4.729018   , -31.768750   , 41.385268   ]  , c = [-57.142857   , 16.725893   , -4.729018   , -31.768750   , 41.385268   ]
q = 1.870000 , x = [-61.538462   , 17.907212   , -5.044952   , -34.268750   , 44.585817   ]  , c = [-61.538462   , 17.907212   , -5.044952   , -34.268750   , 44.585817   ]
q = 1.880000 , x = [-66.666667   , 19.285417   , -5.413542   , -37.185417   , 48.319792   ]  , c = [-66.666667   , 19.285417   , -5.413542   , -37.185417   , 48.319792   ]
q = 1.890000 , x = [-72.727273   , 20.914205   , -5.849148   , -40.632386   , 52.732670   ]  , c = [-72.727273   , 20.914205   , -5.849148   , -40.632386   , 52.732670   ]
q = 1.900000 , x = [-80.000000   , 22.868750   , -6.371875   , -44.768750   , 58.028125   ]  , c = [-80.000000   , 22.868750   , -6.371875   , -44.768750   , 58.028125   ]
q = 1.910000 , x = [-88.888889   , 25.257639   , -7.010764   , -49.824306   , 64.500347   ]  , c = [-88.888889   , 25.257639   , -7.010764   , -49.824306   , 64.500347   ]
q = 1.920000 , x = [-100.000000   , 28.243750   , -7.809375   , -56.143750   , 72.590625   ]  , c = [-100.000000   , 28.243750   , -7.809375   , -56.143750   , 72.590625   ]
q = 1.930000 , x = [-114.285714   , 32.083036   , -8.836161   , -64.268750   , 82.992411   ]  , c = [-114.285714   , 32.083036   , -8.836161   , -64.268750   , 82.992411   ]
q = 1.940000 , x = [-133.333333   , 37.202083   , -10.205208   , -75.102083   , 96.861458   ]  , c = [-133.333333   , 37.202083   , -10.205208   , -75.102083   , 96.861458   ]
q = 1.950000 , x = [-160.000000   , 44.368750   , -12.121875   , -90.268750   , 116.278125   ]  , c = [-160.000000   , 44.368750   , -12.121875   , -90.268750   , 116.278125   ]
q = 1.960000 , x = [-200.000000   , 55.118750   , -14.996875   , -113.018750   , 145.403125   ]  , c = [-200.000000   , 55.118750   , -14.996875   , -113.018750   , 145.403125   ]
q = 1.970000 , x = [-266.666667   , 73.035417   , -19.788542   , -150.935417   , 193.944792   ]  , c = [-266.666667   , 73.035417   , -19.788542   , -150.935417   , 193.944792   ]
q = 1.980000 , x = [-400.000000   , 108.868750   , -29.371875   , -226.768750   , 291.028125   ]  , c = [-400.000000   , 108.868750   , -29.371875   , -226.768750   , 291.028125   ]
q = 1.990000 , x = [-800.000000   , 216.368750   , -58.121875   , -454.268750   , 582.278125   ]  , c = [-800.000000   , 216.368750   , -58.121875   , -454.268750   , 582.278125   ]
q = 2.000000 , x = [3871462406335944.500000   , -1040455521702788.000000   , 278261360455404.000000   , 2201894243603576.000000   , -2818908564613370.500000   ]  , c = [3871462406335944.500000   , -1040455521702788.000000   , 278261360455404.000000   , 2201894243603576.000000   , -2818908564613370.500000   ]
q = 2.010000 , x = [800.000000   , -213.631250   , 56.878125   , 455.731250   , -582.721875   ]  , c = [800.000000   , -213.631250   , 56.878125   , 455.731250   , -582.721875   ]
q = 2.020000 , x = [400.000000   , -106.131250   , 28.128125   , 228.231250   , -291.471875   ]  , c = [400.000000   , -106.131250   , 28.128125   , 228.231250   , -291.471875   ]
q = 2.030000 , x = [266.666667   , -70.297917   , 18.544792   , 152.397917   , -194.388542   ]  , c = [266.666667   , -70.297917   , 18.544792   , 152.397917   , -194.388542   ]
q = 2.040000 , x = [200.000000   , -52.381250   , 13.753125   , 114.481250   , -145.846875   ]  , c = [200.000000   , -52.381250   , 13.753125   , 114.481250   , -145.846875   ]
q = 2.050000 , x = [160.000000   , -41.631250   , 10.878125   , 91.731250   , -116.721875   ]  , c = [160.000000   , -41.631250   , 10.878125   , 91.731250   , -116.721875   ]
q = 2.060000 , x = [133.333333   , -34.464583   , 8.961458   , 76.564583   , -97.305208   ]  , c = [133.333333   , -34.464583   , 8.961458   , 76.564583   , -97.305208   ]
q = 2.070000 , x = [114.285714   , -29.345536   , 7.592411   , 65.731250   , -83.436161   ]  , c = [114.285714   , -29.345536   , 7.592411   , 65.731250   , -83.436161   ]
q = 2.080000 , x = [100.000000   , -25.506250   , 6.565625   , 57.606250   , -73.034375   ]  , c = [100.000000   , -25.506250   , 6.565625   , 57.606250   , -73.034375   ]
q = 2.090000 , x = [88.888889   , -22.520139   , 5.767014   , 51.286806   , -64.944097   ]  , c = [88.888889   , -22.520139   , 5.767014   , 51.286806   , -64.944097   ]
q = 2.100000 , x = [80.000000   , -20.131250   , 5.128125   , 46.231250   , -58.471875   ]  , c = [80.000000   , -20.131250   , 5.128125   , 46.231250   , -58.471875   ]
q = 2.110000 , x = [72.727273   , -18.176705   , 4.605398   , 42.094886   , -53.176420   ]  , c = [72.727273   , -18.176705   , 4.605398   , 42.094886   , -53.176420   ]
q = 2.120000 , x = [66.666667   , -16.547917   , 4.169792   , 38.647917   , -48.763542   ]  , c = [66.666667   , -16.547917   , 4.169792   , 38.647917   , -48.763542   ]
q = 2.130000 , x = [61.538462   , -15.169712   , 3.801202   , 35.731250   , -45.029567   ]  , c = [61.538462   , -15.169712   , 3.801202   , 35.731250   , -45.029567   ]
q = 2.140000 , x = [57.142857   , -13.988393   , 3.485268   , 33.231250   , -41.829018   ]  , c = [57.142857   , -13.988393   , 3.485268   , 33.231250   , -41.829018   ]
q = 2.150000 , x = [53.333333   , -12.964583   , 3.211458   , 31.064583   , -39.055208   ]  , c = [53.333333   , -12.964583   , 3.211458   , 31.064583   , -39.055208   ]
q = 2.160000 , x = [50.000000   , -12.068750   , 2.971875   , 29.168750   , -36.628125   ]  , c = [50.000000   , -12.068750   , 2.971875   , 29.168750   , -36.628125   ]
q = 2.170000 , x = [47.058824   , -11.278309   , 2.760478   , 27.495956   , -34.486581   ]  , c = [47.058824   , -11.278309   , 2.760478   , 27.495956   , -34.486581   ]
q = 2.180000 , x = [44.444444   , -10.575694   , 2.572569   , 26.009028   , -32.582986   ]  , c = [44.444444   , -10.575694   , 2.572569   , 26.009028   , -32.582986   ]
q = 2.190000 , x = [42.105263   , -9.947039   , 2.404441   , 24.678618   , -30.879770   ]  , c = [42.105263   , -9.947039   , 2.404441   , 24.678618   , -30.879770   ]
q = 2.200000 , x = [40.000000   , -9.381250   , 2.253125   , 23.481250   , -29.346875   ]  , c = [40.000000   , -9.381250   , 2.253125   , 23.481250   , -29.346875   ]
q = 2.210000 , x = [38.095238   , -8.869345   , 2.116220   , 22.397917   , -27.959970   ]  , c = [38.095238   , -8.869345   , 2.116220   , 22.397917   , -27.959970   ]
q = 2.220000 , x = [36.363636   , -8.403977   , 1.991761   , 21.413068   , -26.699148   ]  , c = [36.363636   , -8.403977   , 1.991761   , 21.413068   , -26.699148   ]
q = 2.230000 , x = [34.782609   , -7.979076   , 1.878125   , 20.513859   , -25.547962   ]  , c = [34.782609   , -7.979076   , 1.878125   , 20.513859   , -25.547962   ]
q = 2.240000 , x = [33.333333   , -7.589583   , 1.773958   , 19.689583   , -24.492708   ]  , c = [33.333333   , -7.589583   , 1.773958   , 19.689583   , -24.492708   ]
q = 2.250000 , x = [32.000000   , -7.231250   , 1.678125   , 18.931250   , -23.521875   ]  , c = [32.000000   , -7.231250   , 1.678125   , 18.931250   , -23.521875   ]
q = 2.260000 , x = [30.769231   , -6.900481   , 1.589663   , 18.231250   , -22.625721   ]  , c = [30.769231   , -6.900481   , 1.589663   , 18.231250   , -22.625721   ]
q = 2.270000 , x = [29.629630   , -6.594213   , 1.507755   , 17.583102   , -21.795949   ]  , c = [29.629630   , -6.594213   , 1.507755   , 17.583102   , -21.795949   ]
q = 2.280000 , x = [28.571429   , -6.309821   , 1.431696   , 16.981250   , -21.025446   ]  , c = [28.571429   , -6.309821   , 1.431696   , 16.981250   , -21.025446   ]
q = 2.290000 , x = [27.586207   , -6.045043   , 1.360884   , 16.420905   , -20.308082   ]  , c = [27.586207   , -6.045043   , 1.360884   , 16.420905   , -20.308082   ]
q = 2.300000 , x = [26.666667   , -5.797917   , 1.294792   , 15.897917   , -19.638542   ]  , c = [26.666667   , -5.797917   , 1.294792   , 15.897917   , -19.638542   ]
q = 2.310000 , x = [25.806452   , -5.566734   , 1.232964   , 15.408669   , -19.012198   ]  , c = [25.806452   , -5.566734   , 1.232964   , 15.408669   , -19.012198   ]
q = 2.320000 , x = [25.000000   , -5.350000   , 1.175000   , 14.950000   , -18.425000   ]  , c = [25.000000   , -5.350000   , 1.175000   , 14.950000   , -18.425000   ]
q = 2.330000 , x = [24.242424   , -5.146402   , 1.120549   , 14.519129   , -17.873390   ]  , c = [24.242424   , -5.146402   , 1.120549   , 14.519129   , -17.873390   ]
q = 2.340000 , x = [23.529412   , -4.954779   , 1.069301   , 14.113603   , -17.354228   ]  , c = [23.529412   , -4.954779   , 1.069301   , 14.113603   , -17.354228   ]
q = 2.350000 , x = [22.857143   , -4.774107   , 1.020982   , 13.731250   , -16.864732   ]  , c = [22.857143   , -4.774107   , 1.020982   , 13.731250   , -16.864732   ]
q = 2.360000 , x = [22.222222   , -4.603472   , 0.975347   , 13.370139   , -16.402431   ]  , c = [22.222222   , -4.603472   , 0.975347   , 13.370139   , -16.402431   ]
q = 2.370000 , x = [21.621622   , -4.442061   , 0.932179   , 13.028547   , -15.965118   ]  , c = [21.621622   , -4.442061   , 0.932179   , 13.028547   , -15.965118   ]
q = 2.380000 , x = [21.052632   , -4.289145   , 0.891283   , 12.704934   , -15.550822   ]  , c = [21.052632   , -4.289145   , 0.891283   , 12.704934   , -15.550822   ]
q = 2.390000 , x = [20.512821   , -4.144071   , 0.852484   , 12.397917   , -15.157772   ]  , c = [20.512821   , -4.144071   , 0.852484   , 12.397917   , -15.157772   ]
q = 2.400000 , x = [20.000000   , -4.006250   , 0.815625   , 12.106250   , -14.784375   ]  , c = [20.000000   , -4.006250   , 0.815625   , 12.106250   , -14.784375   ]
q = 2.410000 , x = [19.512195   , -3.875152   , 0.780564   , 11.828811   , -14.429192   ]  , c = [19.512195   , -3.875152   , 0.780564   , 11.828811   , -14.429192   ]
q = 2.420000 , x = [19.047619   , -3.750298   , 0.747173   , 11.564583   , -14.090923   ]  , c = [19.047619   , -3.750298   , 0.747173   , 11.564583   , -14.090923   ]
q = 2.430000 , x = [18.604651   , -3.631250   , 0.715334   , 11.312645   , -13.768387   ]  , c = [18.604651   , -3.631250   , 0.715334   , 11.312645   , -13.768387   ]
q = 2.440000 , x = [18.181818   , -3.517614   , 0.684943   , 11.072159   , -13.460511   ]  , c = [18.181818   , -3.517614   , 0.684943   , 11.072159   , -13.460511   ]
q = 2.450000 , x = [17.777778   , -3.409028   , 0.655903   , 10.842361   , -13.166319   ]  , c = [17.777778   , -3.409028   , 0.655903   , 10.842361   , -13.166319   ]
q = 2.460000 , x = [17.391304   , -3.305163   , 0.628125   , 10.622554   , -12.884918   ]  , c = [17.391304   , -3.305163   , 0.628125   , 10.622554   , -12.884918   ]
q = 2.470000 , x = [17.021277   , -3.205718   , 0.601529   , 10.412101   , -12.615492   ]  , c = [17.021277   , -3.205718   , 0.601529   , 10.412101   , -12.615492   ]
q = 2.480000 , x = [16.666667   , -3.110417   , 0.576042   , 10.210417   , -12.357292   ]  , c = [16.666667   , -3.110417   , 0.576042   , 10.210417   , -12.357292   ]
q = 2.490000 , x = [16.326531   , -3.019005   , 0.551594   , 10.016964   , -12.109630   ]  , c = [16.326531   , -3.019005   , 0.551594   , 10.016964   , -12.109630   ]
q = 2.500000 , x = [16.000000   , -2.931250   , 0.528125   , 9.831250   , -11.871875   ]  , c = [16.000000   , -2.931250   , 0.528125   , 9.831250   , -11.871875   ]
q = 2.510000 , x = [15.686275   , -2.846936   , 0.505576   , 9.652819   , -11.643444   ]  , c = [15.686275   , -2.846936   , 0.505576   , 9.652819   , -11.643444   ]
q = 2.520000 , x = [15.384615   , -2.765865   , 0.483894   , 9.481250   , -11.423798   ]  , c = [15.384615   , -2.765865   , 0.483894   , 9.481250   , -11.423798   ]
q = 2.530000 , x = [15.094340   , -2.687854   , 0.463031   , 9.316156   , -11.212441   ]  , c = [15.094340   , -2.687854   , 0.463031   , 9.316156   , -11.212441   ]
q = 2.540000 , x = [14.814815   , -2.612731   , 0.442940   , 9.157176   , -11.008912   ]  , c = [14.814815   , -2.612731   , 0.442940   , 9.157176   , -11.008912   ]
q = 2.550000 , x = [14.545455   , -2.540341   , 0.423580   , 9.003977   , -10.812784   ]  , c = [14.545455   , -2.540341   , 0.423580   , 9.003977   , -10.812784   ]
q = 2.560000 , x = [14.285714   , -2.470536   , 0.404911   , 8.856250   , -10.623661   ]  , c = [14.285714   , -2.470536   , 0.404911   , 8.856250   , -10.623661   ]
q = 2.570000 , x = [14.035088   , -2.403180   , 0.386897   , 8.713706   , -10.441173   ]  , c = [14.035088   , -2.403180   , 0.386897   , 8.713706   , -10.441173   ]
q = 2.580000 , x = [13.793103   , -2.338147   , 0.369504   , 8.576078   , -10.264978   ]  , c = [13.793103   , -2.338147   , 0.369504   , 8.576078   , -10.264978   ]
q = 2.590000 , x = [13.559322   , -2.275318   , 0.352701   , 8.443114   , -10.094756   ]  , c = [13.559322   , -2.275318   , 0.352701   , 8.443114   , -10.094756   ]
q = 2.600000 , x = [13.333333   , -2.214583   , 0.336458   , 8.314583   , -9.930208   ]  , c = [13.333333   , -2.214583   , 0.336458   , 8.314583   , -9.930208   ]
q = 2.610000 , x = [13.114754   , -2.155840   , 0.320748   , 8.190266   , -9.771055   ]  , c = [13.114754   , -2.155840   , 0.320748   , 8.190266   , -9.771055   ]
q = 2.620000 , x = [12.903226   , -2.098992   , 0.305544   , 8.069960   , -9.617036   ]  , c = [12.903226   , -2.098992   , 0.305544   , 8.069960   , -9.617036   ]
q = 2.630000 , x = [12.698413   , -2.043948   , 0.290823   , 7.953472   , -9.467907   ]  , c = [12.698413   , -2.043948   , 0.290823   , 7.953472   , -9.467907   ]
q = 2.640000 , x = [12.500000   , -1.990625   , 0.276562   , 7.840625   , -9.323438   ]  , c = [12.500000   , -1.990625   , 0.276562   , 7.840625   , -9.323438   ]
q = 2.650000 , x = [12.307692   , -1.938942   , 0.262740   , 7.731250   , -9.183413   ]  , c = [12.307692   , -1.938942   , 0.262740   , 7.731250   , -9.183413   ]
q = 2.660000 , x = [12.121212   , -1.888826   , 0.249337   , 7.625189   , -9.047633   ]  , c = [12.121212   , -1.888826   , 0.249337   , 7.625189   , -9.047633   ]
q = 2.670000 , x = [11.940299   , -1.840205   , 0.236334   , 7.522295   , -8.915905   ]  , c = [11.940299   , -1.840205   , 0.236334   , 7.522295   , -8.915905   ]
q = 2.680000 , x = [11.764706   , -1.793015   , 0.223713   , 7.422426   , -8.788051   ]  , c = [11.764706   , -1.793015   , 0.223713   , 7.422426   , -8.788051   ]
q = 2.690000 , x = [11.594203   , -1.747192   , 0.211458   , 7.325453   , -8.663904   ]  , c = [11.594203   , -1.747192   , 0.211458   , 7.325453   , -8.663904   ]
q = 2.700000 , x = [11.428571   , -1.702679   , 0.199554   , 7.231250   , -8.543304   ]  , c = [11.428571   , -1.702679   , 0.199554   , 7.231250   , -8.543304   ]
q = 2.710000 , x = [11.267606   , -1.659419   , 0.187984   , 7.139701   , -8.426100   ]  , c = [11.267606   , -1.659419   , 0.187984   , 7.139701   , -8.426100   ]
q = 2.720000 , x = [11.111111   , -1.617361   , 0.176736   , 7.050694   , -8.312153   ]  , c = [11.111111   , -1.617361   , 0.176736   , 7.050694   , -8.312153   ]
q = 2.730000 , x = [10.958904   , -1.576455   , 0.165796   , 6.964127   , -8.201327   ]  , c = [10.958904   , -1.576455   , 0.165796   , 6.964127   , -8.201327   ]
q = 2.740000 , x = [10.810811   , -1.536655   , 0.155152   , 6.879899   , -8.093497   ]  , c = [10.810811   , -1.536655   , 0.155152   , 6.879899   , -8.093497   ]
q = 2.750000 , x = [10.666667   , -1.497917   , 0.144792   , 6.797917   , -7.988542   ]  , c = [10.666667   , -1.497917   , 0.144792   , 6.797917   , -7.988542   ]
q = 2.760000 , x = [10.526316   , -1.460197   , 0.134704   , 6.718092   , -7.886349   ]  , c = [10.526316   , -1.460197   , 0.134704   , 6.718092   , -7.886349   ]
q = 2.770000 , x = [10.389610   , -1.423458   , 0.124878   , 6.640341   , -7.786810   ]  , c = [10.389610   , -1.423458   , 0.124878   , 6.640341   , -7.786810   ]
q = 2.780000 , x = [10.256410   , -1.387660   , 0.115304   , 6.564583   , -7.689824   ]  , c = [10.256410   , -1.387660   , 0.115304   , 6.564583   , -7.689824   ]
q = 2.790000 , x = [10.126582   , -1.352769   , 0.105973   , 6.490744   , -7.595293   ]  , c = [10.126582   , -1.352769   , 0.105973   , 6.490744   , -7.595293   ]
q = 2.800000 , x = [10.000000   , -1.318750   , 0.096875   , 6.418750   , -7.503125   ]  , c = [10.000000   , -1.318750   , 0.096875   , 6.418750   , -7.503125   ]
q = 2.810000 , x = [9.876543   , -1.285571   , 0.088002   , 6.348534   , -7.413233   ]  , c = [9.876543   , -1.285571   , 0.088002   , 6.348534   , -7.413233   ]
q = 2.820000 , x = [9.756098   , -1.253201   , 0.079345   , 6.280030   , -7.325534   ]  , c = [9.756098   , -1.253201   , 0.079345   , 6.280030   , -7.325534   ]
q = 2.830000 , x = [9.638554   , -1.221611   , 0.070896   , 6.213178   , -7.239947   ]  , c = [9.638554   , -1.221611   , 0.070896   , 6.213178   , -7.239947   ]
q = 2.840000 , x = [9.523810   , -1.190774   , 0.062649   , 6.147917   , -7.156399   ]  , c = [9.523810   , -1.190774   , 0.062649   , 6.147917   , -7.156399   ]
q = 2.850000 , x = [9.411765   , -1.160662   , 0.054596   , 6.084191   , -7.074816   ]  , c = [9.411765   , -1.160662   , 0.054596   , 6.084191   , -7.074816   ]
q = 2.860000 , x = [9.302326   , -1.131250   , 0.046730   , 6.021948   , -6.995131   ]  , c = [9.302326   , -1.131250   , 0.046730   , 6.021948   , -6.995131   ]
q = 2.870000 , x = [9.195402   , -1.102514   , 0.039045   , 5.961135   , -6.917277   ]  , c = [9.195402   , -1.102514   , 0.039045   , 5.961135   , -6.917277   ]
q = 2.880000 , x = [9.090909   , -1.074432   , 0.031534   , 5.901705   , -6.841193   ]  , c = [9.090909   , -1.074432   , 0.031534   , 5.901705   , -6.841193   ]
q = 2.890000 , x = [8.988764   , -1.046980   , 0.024192   , 5.843610   , -6.766819   ]  , c = [8.988764   , -1.046980   , 0.024192   , 5.843610   , -6.766819   ]
q = 2.900000 , x = [8.888889   , -1.020139   , 0.017014   , 5.786806   , -6.694097   ]  , c = [8.888889   , -1.020139   , 0.017014   , 5.786806   , -6.694097   ]
q = 2.910000 , x = [8.791209   , -0.993887   , 0.009993   , 5.731250   , -6.622974   ]  , c = [8.791209   , -0.993887   , 0.009993   , 5.731250   , -6.622974   ]
q = 2.920000 , x = [8.695652   , -0.968207   , 0.003125   , 5.676902   , -6.553397   ]  , c = [8.695652   , -0.968207   , 0.003125   , 5.676902   , -6.553397   ]
q = 2.930000 , x = [8.602151   , -0.943078   , -0.003595   , 5.623723   , -6.485316   ]  , c = [8.602151   , -0.943078   , -0.003595   , 5.623723   , -6.485316   ]
q = 2.940000 , x = [8.510638   , -0.918484   , -0.010173   , 5.571676   , -6.418684   ]  , c = [8.510638   , -0.918484   , -0.010173   , 5.571676   , -6.418684   ]
q = 2.950000 , x = [8.421053   , -0.894408   , -0.016612   , 5.520724   , -6.353454   ]  , c = [8.421053   , -0.894408   , -0.016612   , 5.520724   , -6.353454   ]
q = 2.960000 , x = [8.333333   , -0.870833   , -0.022917   , 5.470833   , -6.289583   ]  , c = [8.333333   , -0.870833   , -0.022917   , 5.470833   , -6.289583   ]
q = 2.970000 , x = [8.247423   , -0.847745   , -0.029091   , 5.421972   , -6.227030   ]  , c = [8.247423   , -0.847745   , -0.029091   , 5.421972   , -6.227030   ]
q = 2.980000 , x = [8.163265   , -0.825128   , -0.035140   , 5.374107   , -6.165753   ]  , c = [8.163265   , -0.825128   , -0.035140   , 5.374107   , -6.165753   ]
q = 2.990000 , x = [8.080808   , -0.802967   , -0.041067   , 5.327210   , -6.105713   ]  , c = [8.080808   , -0.802967   , -0.041067   , 5.327210   , -6.105713   ]
q = 3.000000 , x = [8.000000   , -0.781250   , -0.046875   , 5.281250   , -6.046875   ]  , c = [8.000000   , -0.781250   , -0.046875   , 5.281250   , -6.046875   ]
