q = 0.000000 , x = [-nan   , -nan   , -nan   , -nan   , -nan   ]
q = 2.840000 , x = [2.173913   , 0.784511   , -0.465625   , 1.967663   , -1.804755   ]
q = 2.850000 , x = [2.162162   , 0.787669   , -0.466470   , 1.960980   , -1.796199   ]
q = 2.860000 , x = [2.150538   , 0.790793   , -0.467305   , 1.954368   , -1.787735   ]
q = 2.870000 , x = [2.139037   , 0.793884   , -0.468132   , 1.947828   , -1.779362   ]
q = 2.880000 , x = [2.127660   , 0.796941   , -0.468949   , 1.941356   , -1.771077   ]
q = 2.890000 , x = [2.116402   , 0.799967   , -0.469759   , 1.934954   , -1.762880   ]
q = 2.900000 , x = [2.105263   , 0.802961   , -0.470559   , 1.928618   , -1.754770   ]
q = 2.910000 , x = [2.094241   , 0.805923   , -0.471351   , 1.922349   , -1.746744   ]
q = 2.920000 , x = [2.083333   , 0.808854   , -0.472135   , 1.916146   , -1.738802   ]
q = 2.930000 , x = [2.072539   , 0.811755   , -0.472911   , 1.910006   , -1.730942   ]
q = 2.940000 , x = [2.061856   , 0.814626   , -0.473679   , 1.903930   , -1.723164   ]
q = 2.950000 , x = [2.051282   , 0.817468   , -0.474439   , 1.897917   , -1.715465   ]
q = 2.960000 , x = [2.040816   , 0.820281   , -0.475191   , 1.891964   , -1.707844   ]
q = 2.970000 , x = [2.030457   , 0.823065   , -0.475936   , 1.886072   , -1.700301   ]
q = 2.980000 , x = [2.020202   , 0.825821   , -0.476673   , 1.880240   , -1.692835   ]
q = 2.990000 , x = [2.010050   , 0.828549   , -0.477403   , 1.874466   , -1.685443   ]
q = 3.000000 , x = [2.000000   , 0.831250   , -0.478125   , 1.868750   , -1.678125   ]
