q = 0.000000 , x = [-nan   , -nan   , -nan   , -nan   , -nan   ]
q = 0.650000 , x = [-11.428571   , 4.440179   , -1.443304   , -5.768750   , 8.099554   ]
q = 0.660000 , x = [-11.764706   , 4.530515   , -1.467463   , -5.959926   , 8.344301   ]
q = 0.670000 , x = [-12.121212   , 4.626326   , -1.493087   , -6.162689   , 8.603883   ]
q = 0.680000 , x = [-12.500000   , 4.728125   , -1.520313   , -6.378125   , 8.879688   ]
q = 0.690000 , x = [-12.903226   , 4.836492   , -1.549294   , -6.607460   , 9.173286   ]
q = 0.700000 , x = [-13.333333   , 4.952083   , -1.580208   , -6.852083   , 9.486458   ]
q = 0.710000 , x = [-13.793103   , 5.075647   , -1.613254   , -7.113578   , 9.821228   ]
q = 0.720000 , x = [-14.285714   , 5.208036   , -1.648661   , -7.393750   , 10.179911   ]
q = 0.730000 , x = [-14.814815   , 5.350231   , -1.686690   , -7.694676   , 10.565162   ]
q = 0.740000 , x = [-15.384615   , 5.503365   , -1.727644   , -8.018750   , 10.980048   ]
q = 0.750000 , x = [-16.000000   , 5.668750   , -1.771875   , -8.368750   , 11.428125   ]
q = 0.760000 , x = [-16.666667   , 5.847917   , -1.819792   , -8.747917   , 11.913542   ]
q = 0.770000 , x = [-17.391304   , 6.042663   , -1.871875   , -9.160054   , 12.441168   ]
q = 0.780000 , x = [-18.181818   , 6.255114   , -1.928693   , -9.609659   , 13.016761   ]
q = 0.790000 , x = [-19.047619   , 6.487798   , -1.990923   , -10.102083   , 13.647173   ]
q = 0.800000 , x = [-20.000000   , 6.743750   , -2.059375   , -10.643750   , 14.340625   ]
q = 0.810000 , x = [-21.052632   , 7.026645   , -2.135033   , -11.242434   , 15.107072   ]
q = 0.820000 , x = [-22.222222   , 7.340972   , -2.219097   , -11.907639   , 15.958681   ]
q = 0.830000 , x = [-23.529412   , 7.692279   , -2.313051   , -12.651103   , 16.910478   ]
q = 0.840000 , x = [-25.000000   , 8.087500   , -2.418750   , -13.487500   , 17.981250   ]
q = 0.850000 , x = [-26.666667   , 8.535417   , -2.538542   , -14.435417   , 19.194792   ]
q = 0.860000 , x = [-28.571429   , 9.047321   , -2.675446   , -15.518750   , 20.581696   ]
q = 0.870000 , x = [-30.769231   , 9.637981   , -2.833413   , -16.768750   , 22.181971   ]
q = 0.880000 , x = [-33.333333   , 10.327083   , -3.017708   , -18.227083   , 24.048958   ]
q = 0.890000 , x = [-36.363636   , 11.141477   , -3.235511   , -19.950568   , 26.255398   ]
q = 0.900000 , x = [-40.000000   , 12.118750   , -3.496875   , -22.018750   , 28.903125   ]
q = 0.910000 , x = [-44.444444   , 13.313194   , -3.816319   , -24.546528   , 32.139236   ]
q = 0.920000 , x = [-50.000000   , 14.806250   , -4.215625   , -27.706250   , 36.184375   ]
q = 0.930000 , x = [-57.142857   , 16.725893   , -4.729018   , -31.768750   , 41.385268   ]
q = 0.940000 , x = [-66.666667   , 19.285417   , -5.413542   , -37.185417   , 48.319792   ]
q = 0.950000 , x = [-80.000000   , 22.868750   , -6.371875   , -44.768750   , 58.028125   ]
q = 0.960000 , x = [-100.000000   , 28.243750   , -7.809375   , -56.143750   , 72.590625   ]
q = 0.970000 , x = [-133.333333   , 37.202083   , -10.205208   , -75.102083   , 96.861458   ]
q = 0.980000 , x = [-200.000000   , 55.118750   , -14.996875   , -113.018750   , 145.403125   ]
q = 0.990000 , x = [-400.000000   , 108.868750   , -29.371875   , -226.768750   , 291.028125   ]
q = 1.000000 , x = [3871462406335944.500000   , -1040455521702788.000000   , 278261360455404.000000   , 2201894243603576.000000   , -2818908564613370.500000   ]
